x [m],y [m],z [m],zrot [deg.],wba SAR [W/kg]
5.000000E-02,0.000000E+00,-1.500000E+01,0.000000E+00,3.533900E-06
5.000000E-02,0.000000E+00,-1.200000E+01,0.000000E+00,8.835800E-05
5.000000E-02,0.000000E+00,-9.000000E+00,0.000000E+00,9.203300E-02
5.000000E-02,0.000000E+00,-6.000000E+00,0.000000E+00,8.774700E-02
5.000000E-02,0.000000E+00,-4.000000E+00,0.000000E+00,1.929900E-01
5.000000E-02,0.000000E+00,-2.500000E+00,0.000000E+00,2.947500E-01
5.000000E-02,0.000000E+00,-1.700000E+00,0.000000E+00,2.374800E-01
5.000000E-02,0.000000E+00,-1.000000E+00,0.000000E+00,1.849400E-01
5.000000E-02,0.000000E+00,-5.000000E-01,0.000000E+00,2.907700E-01
5.000000E-02,0.000000E+00,0.000000E+00,0.000000E+00,2.882900E-01
5.000000E-02,0.000000E+00,5.000000E-01,0.000000E+00,2.687100E-01
5.000000E-02,0.000000E+00,1.000000E+00,0.000000E+00,1.786600E-01
5.000000E-02,0.000000E+00,1.700000E+00,0.000000E+00,2.587400E-01
5.000000E-02,0.000000E+00,2.500000E+00,0.000000E+00,2.447200E-01
5.000000E-02,0.000000E+00,4.000000E+00,0.000000E+00,2.061100E-01
5.000000E-02,0.000000E+00,6.000000E+00,0.000000E+00,1.013900E-01
5.000000E-02,0.000000E+00,9.000000E+00,0.000000E+00,9.124600E-02
5.000000E-02,0.000000E+00,1.200000E+01,0.000000E+00,6.592800E-05
5.000000E-02,0.000000E+00,1.500000E+01,0.000000E+00,2.575300E-06
1.000000E-01,0.000000E+00,-1.500000E+01,0.000000E+00,3.524700E-06
1.000000E-01,0.000000E+00,-1.200000E+01,0.000000E+00,8.761200E-05
1.000000E-01,0.000000E+00,-9.000000E+00,0.000000E+00,1.226300E-01
1.000000E-01,0.000000E+00,-6.000000E+00,0.000000E+00,1.043000E-01
1.000000E-01,0.000000E+00,-4.000000E+00,0.000000E+00,2.171900E-01
1.000000E-01,0.000000E+00,-2.500000E+00,0.000000E+00,3.401800E-01
1.000000E-01,0.000000E+00,-1.700000E+00,0.000000E+00,2.647900E-01
1.000000E-01,0.000000E+00,-1.000000E+00,0.000000E+00,2.018800E-01
1.000000E-01,0.000000E+00,-5.000000E-01,0.000000E+00,3.066800E-01
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,3.565000E-01
1.000000E-01,0.000000E+00,5.000000E-01,0.000000E+00,2.975200E-01
1.000000E-01,0.000000E+00,1.000000E+00,0.000000E+00,2.001400E-01
1.000000E-01,0.000000E+00,1.700000E+00,0.000000E+00,2.711300E-01
1.000000E-01,0.000000E+00,2.500000E+00,0.000000E+00,2.950000E-01
1.000000E-01,0.000000E+00,4.000000E+00,0.000000E+00,2.210800E-01
1.000000E-01,0.000000E+00,6.000000E+00,0.000000E+00,1.094500E-01
1.000000E-01,0.000000E+00,9.000000E+00,0.000000E+00,1.213100E-01
1.000000E-01,0.000000E+00,1.200000E+01,0.000000E+00,6.520700E-05
1.000000E-01,0.000000E+00,1.500000E+01,0.000000E+00,2.566400E-06
3.000000E-01,0.000000E+00,-1.500000E+01,0.000000E+00,3.490000E-06
3.000000E-01,0.000000E+00,-1.200000E+01,0.000000E+00,8.313200E-05
3.000000E-01,0.000000E+00,-9.000000E+00,0.000000E+00,5.805500E-02
3.000000E-01,0.000000E+00,-6.000000E+00,0.000000E+00,7.682900E-02
3.000000E-01,0.000000E+00,-4.000000E+00,0.000000E+00,1.235500E-01
3.000000E-01,0.000000E+00,-2.500000E+00,0.000000E+00,1.634900E-01
3.000000E-01,0.000000E+00,-1.700000E+00,0.000000E+00,1.597200E-01
3.000000E-01,0.000000E+00,-1.000000E+00,0.000000E+00,1.424500E-01
3.000000E-01,0.000000E+00,-5.000000E-01,0.000000E+00,1.788600E-01
3.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,1.750300E-01
3.000000E-01,0.000000E+00,5.000000E-01,0.000000E+00,1.691300E-01
3.000000E-01,0.000000E+00,1.000000E+00,0.000000E+00,1.415200E-01
