SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	8.55300965E-02	
1.00000000E+00	8.55349111E-02	
2.00000000E+00	8.55131632E-02	
3.00000000E+00	8.54646240E-02	
4.00000000E+00	8.53915106E-02	
5.00000000E+00	8.52944195E-02	
6.00000000E+00	8.51749238E-02	
7.00000000E+00	8.50353726E-02	
8.00000000E+00	8.48787826E-02	
9.00000000E+00	8.47076209E-02	
1.00000000E+01	8.45247853E-02	
1.10000000E+01	8.43345744E-02	
1.20000000E+01	8.41408994E-02	
1.30000000E+01	8.39474903E-02	
1.40000000E+01	8.37597632E-02	
1.50000000E+01	8.35817156E-02	
1.60000000E+01	8.34200888E-02	
1.70000000E+01	8.32792834E-02	
1.80000000E+01	8.31652964E-02	
1.90000000E+01	8.30841239E-02	
2.00000000E+01	8.30421019E-02	
2.10000000E+01	8.30448503E-02	
2.20000000E+01	8.30994286E-02	
2.30000000E+01	8.32112041E-02	
2.40000000E+01	8.33874286E-02	
2.50000000E+01	8.36327926E-02	
2.60000000E+01	8.39546398E-02	
2.70000000E+01	8.43568466E-02	
2.80000000E+01	8.48454594E-02	
2.90000000E+01	8.54254814E-02	
3.00000000E+01	8.60999493E-02	
3.10000000E+01	8.68726004E-02	
3.20000000E+01	8.77457093E-02	
3.30000000E+01	8.87206414E-02	
3.40000000E+01	8.97990648E-02	
3.50000000E+01	9.09784692E-02	
3.60000000E+01	9.22580936E-02	
3.70000000E+01	9.36345934E-02	
3.80000000E+01	9.51026688E-02	
3.90000000E+01	9.66558486E-02	
4.00000000E+01	9.82871913E-02	
4.10000000E+01	9.99848529E-02	
4.20000000E+01	1.01739879E-01	
4.30000000E+01	1.03537130E-01	
4.40000000E+01	1.05361395E-01	
4.50000000E+01	1.07196571E-01	
4.60000000E+01	1.09023391E-01	
4.70000000E+01	1.10821613E-01	
4.80000000E+01	1.12569380E-01	
4.90000000E+01	1.14242913E-01	
5.00000000E+01	1.15817933E-01	
5.10000000E+01	1.17267420E-01	
5.20000000E+01	1.18566687E-01	
5.30000000E+01	1.19686977E-01	
5.40000000E+01	1.20600815E-01	
5.50000000E+01	1.21281733E-01	
5.60000000E+01	1.21702238E-01	
5.70000000E+01	1.21836637E-01	
5.80000000E+01	1.21660857E-01	
5.90000000E+01	1.21151112E-01	
6.00000000E+01	1.20286497E-01	
6.10000000E+01	1.19050048E-01	
6.20000000E+01	1.17427225E-01	
6.30000000E+01	1.15405062E-01	
6.40000000E+01	1.12977289E-01	
6.50000000E+01	1.10141584E-01	
6.60000000E+01	1.06898872E-01	
6.70000000E+01	1.03257731E-01	
6.80000000E+01	9.92299422E-02	
6.90000000E+01	9.48334254E-02	
7.00000000E+01	9.00912612E-02	
7.10000000E+01	8.50343341E-02	
7.20000000E+01	7.96970732E-02	
7.30000000E+01	7.41205598E-02	
7.40000000E+01	6.83507711E-02	
7.50000000E+01	6.24392065E-02	
7.60000000E+01	5.64416051E-02	
7.70000000E+01	5.04177308E-02	
7.80000000E+01	4.44316210E-02	
7.90000000E+01	3.85490336E-02	
8.00000000E+01	3.28387961E-02	
8.10000000E+01	2.73706601E-02	
8.20000000E+01	2.22145324E-02	
8.30000000E+01	1.74401861E-02	
8.40000000E+01	1.31156604E-02	
8.50000000E+01	9.30648991E-03	
8.60000000E+01	6.07503570E-03	
8.70000000E+01	3.47918909E-03	
8.80000000E+01	1.57151363E-03	
8.90000000E+01	3.98558994E-04	
9.00000000E+01	0.00000000E+00	
