SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	9.57569694E-04	
1.00000000E+00	1.03627858E-03	
2.00000000E+00	1.21052094E-03	
3.00000000E+00	1.48030626E-03	
4.00000000E+00	1.84518818E-03	
5.00000000E+00	2.30478420E-03	
6.00000000E+00	2.85863366E-03	
7.00000000E+00	3.50630983E-03	
8.00000000E+00	4.24700463E-03	
9.00000000E+00	5.07978028E-03	
1.00000000E+01	6.00388011E-03	
1.10000000E+01	7.01817714E-03	
1.20000000E+01	8.12135165E-03	
1.30000000E+01	9.31230368E-03	
1.40000000E+01	1.05895288E-02	
1.50000000E+01	1.19513912E-02	
1.60000000E+01	1.33961889E-02	
1.70000000E+01	1.49220389E-02	
1.80000000E+01	1.65269688E-02	
1.90000000E+01	1.82088753E-02	
2.00000000E+01	1.99650843E-02	
2.10000000E+01	2.17934748E-02	
2.20000000E+01	2.36911429E-02	
2.30000000E+01	2.56551095E-02	
2.40000000E+01	2.76822500E-02	
2.50000000E+01	2.97691334E-02	
2.60000000E+01	3.19127780E-02	
2.70000000E+01	3.41092563E-02	
2.80000000E+01	3.63542177E-02	
2.90000000E+01	3.86443795E-02	
3.00000000E+01	4.09741981E-02	
3.10000000E+01	4.33399769E-02	
3.20000000E+01	4.57366208E-02	
3.30000000E+01	4.81584548E-02	
3.40000000E+01	5.06006631E-02	
3.50000000E+01	5.30576326E-02	
3.60000000E+01	5.55232131E-02	
3.70000000E+01	5.79909054E-02	
3.80000000E+01	6.04554600E-02	
3.90000000E+01	6.29091346E-02	
4.00000000E+01	6.53452507E-02	
4.10000000E+01	6.77562358E-02	
4.20000000E+01	7.01354998E-02	
4.30000000E+01	7.24747297E-02	
4.40000000E+01	7.47657039E-02	
4.50000000E+01	7.70002287E-02	
4.60000000E+01	7.91700075E-02	
4.70000000E+01	8.12660888E-02	
4.80000000E+01	8.32792287E-02	
4.90000000E+01	8.52008279E-02	
5.00000000E+01	8.70207187E-02	
5.10000000E+01	8.87296108E-02	
5.20000000E+01	9.03173478E-02	
5.30000000E+01	9.17743854E-02	
5.40000000E+01	9.30896743E-02	
5.50000000E+01	9.42532456E-02	
5.60000000E+01	9.52555076E-02	
5.70000000E+01	9.60844104E-02	
5.80000000E+01	9.67300169E-02	
5.90000000E+01	9.71811299E-02	
6.00000000E+01	9.74279071E-02	
6.10000000E+01	9.74589740E-02	
6.20000000E+01	9.72642137E-02	
6.30000000E+01	9.68326513E-02	
6.40000000E+01	9.61541086E-02	
6.50000000E+01	9.52185668E-02	
6.60000000E+01	9.40172859E-02	
6.70000000E+01	9.25400211E-02	
6.80000000E+01	9.07784513E-02	
6.90000000E+01	8.87240433E-02	
7.00000000E+01	8.63704003E-02	
7.10000000E+01	8.37116735E-02	
7.20000000E+01	8.07431594E-02	
7.30000000E+01	7.74610028E-02	
7.40000000E+01	7.38648122E-02	
7.50000000E+01	6.99565696E-02	
7.60000000E+01	6.57405918E-02	
7.70000000E+01	6.12254075E-02	
7.80000000E+01	5.64252086E-02	
7.90000000E+01	5.13599156E-02	
8.00000000E+01	4.60578454E-02	
8.10000000E+01	4.05572184E-02	
8.20000000E+01	3.49094952E-02	
8.30000000E+01	2.91840038E-02	
8.40000000E+01	2.34720666E-02	
8.50000000E+01	1.78947844E-02	
8.60000000E+01	1.26133559E-02	
8.70000000E+01	7.84191315E-03	
8.80000000E+01	3.86757786E-03	
8.90000000E+01	1.07777954E-03	
9.00000000E+01	0.00000000E+00	
