SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	6.50801059E-02	
1.00000000E+00	6.48847924E-02	
2.00000000E+00	6.48315614E-02	
3.00000000E+00	6.49173872E-02	
4.00000000E+00	6.51366934E-02	
5.00000000E+00	6.54821106E-02	
6.00000000E+00	6.59459769E-02	
7.00000000E+00	6.65216133E-02	
8.00000000E+00	6.72054222E-02	
9.00000000E+00	6.79986972E-02	
1.00000000E+01	6.89096386E-02	
1.10000000E+01	6.99544483E-02	
1.20000000E+01	7.11574485E-02	
1.30000000E+01	7.25495210E-02	
1.40000000E+01	7.41638877E-02	
1.50000000E+01	7.60296783E-02	
1.60000000E+01	7.81630823E-02	
1.70000000E+01	8.05575056E-02	
1.80000000E+01	8.31745547E-02	
1.90000000E+01	8.59387999E-02	
2.00000000E+01	8.87393236E-02	
2.10000000E+01	9.14401500E-02	
2.20000000E+01	9.39004464E-02	
2.30000000E+01	9.60017098E-02	
2.40000000E+01	9.76769967E-02	
2.50000000E+01	9.89320181E-02	
2.60000000E+01	9.98511863E-02	
2.70000000E+01	1.00581060E-01	
2.80000000E+01	1.01291992E-01	
2.90000000E+01	1.02127831E-01	
3.00000000E+01	1.03159140E-01	
3.10000000E+01	1.04360964E-01	
3.20000000E+01	1.05626190E-01	
3.30000000E+01	1.06813417E-01	
3.40000000E+01	1.07809825E-01	
3.50000000E+01	1.08578166E-01	
3.60000000E+01	1.09161161E-01	
3.70000000E+01	1.09639712E-01	
3.80000000E+01	1.10068207E-01	
3.90000000E+01	1.10435376E-01	
4.00000000E+01	1.10684753E-01	
4.10000000E+01	1.10793329E-01	
4.20000000E+01	1.10851959E-01	
4.30000000E+01	1.11069704E-01	
4.40000000E+01	1.11659693E-01	
4.50000000E+01	1.12653557E-01	
4.60000000E+01	1.13776546E-01	
4.70000000E+01	1.14518559E-01	
4.80000000E+01	1.14421590E-01	
4.90000000E+01	1.13425819E-01	
5.00000000E+01	1.12010466E-01	
5.10000000E+01	1.10955728E-01	
5.20000000E+01	1.10820582E-01	
5.30000000E+01	1.11499733E-01	
5.40000000E+01	1.12238797E-01	
5.50000000E+01	1.12174210E-01	
5.60000000E+01	1.11022129E-01	
5.70000000E+01	1.09350191E-01	
5.80000000E+01	1.08160048E-01	
5.90000000E+01	1.08092524E-01	
6.00000000E+01	1.08933731E-01	
6.10000000E+01	1.09864088E-01	
6.20000000E+01	1.10211563E-01	
6.30000000E+01	1.09993927E-01	
6.40000000E+01	1.09749944E-01	
6.50000000E+01	1.09886795E-01	
6.60000000E+01	1.10258111E-01	
6.70000000E+01	1.10394049E-01	
6.80000000E+01	1.10063171E-01	
6.90000000E+01	1.09504918E-01	
7.00000000E+01	1.09124899E-01	
7.10000000E+01	1.09109177E-01	
7.20000000E+01	1.09422947E-01	
7.30000000E+01	1.10028042E-01	
7.40000000E+01	1.10829926E-01	
7.50000000E+01	1.11423393E-01	
7.60000000E+01	1.11322229E-01	
7.70000000E+01	1.10816917E-01	
7.80000000E+01	1.11284808E-01	
7.90000000E+01	1.13786799E-01	
8.00000000E+01	1.17093577E-01	
8.10000000E+01	1.18339897E-01	
8.20000000E+01	1.17452669E-01	
8.30000000E+01	1.20871740E-01	
8.40000000E+01	1.37570474E-01	
8.50000000E+01	1.66993757E-01	
8.60000000E+01	1.90164322E-01	
8.70000000E+01	1.78304885E-01	
8.80000000E+01	1.19175071E-01	
8.90000000E+01	3.99329199E-02	
9.00000000E+01	0.00000000E+00	
