SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	2.44758268E-02	
1.00000000E+00	2.44572033E-02	
2.00000000E+00	2.44941356E-02	
3.00000000E+00	2.45864824E-02	
4.00000000E+00	2.47339665E-02	
5.00000000E+00	2.49362067E-02	
6.00000000E+00	2.51927019E-02	
7.00000000E+00	2.55028479E-02	
8.00000000E+00	2.58659691E-02	
9.00000000E+00	2.62814167E-02	
1.00000000E+01	2.67484655E-02	
1.10000000E+01	2.72664481E-02	
1.20000000E+01	2.78347704E-02	
1.30000000E+01	2.84529747E-02	
1.40000000E+01	2.91206901E-02	
1.50000000E+01	2.98378512E-02	
1.60000000E+01	3.06045622E-02	
1.70000000E+01	3.14213433E-02	
1.80000000E+01	3.22891337E-02	
1.90000000E+01	3.32092773E-02	
2.00000000E+01	3.41836355E-02	
2.10000000E+01	3.52145720E-02	
2.20000000E+01	3.63054166E-02	
2.30000000E+01	3.74597836E-02	
2.40000000E+01	3.86824677E-02	
2.50000000E+01	3.99790457E-02	
2.60000000E+01	4.13558512E-02	
2.70000000E+01	4.28201804E-02	
2.80000000E+01	4.43802886E-02	
2.90000000E+01	4.60456258E-02	
3.00000000E+01	4.78264195E-02	
3.10000000E+01	4.97341967E-02	
3.20000000E+01	5.17812421E-02	
3.30000000E+01	5.39807799E-02	
3.40000000E+01	5.63468142E-02	
3.50000000E+01	5.88942508E-02	
3.60000000E+01	6.16387380E-02	
3.70000000E+01	6.45959266E-02	
3.80000000E+01	6.77823115E-02	
3.90000000E+01	7.12138117E-02	
4.00000000E+01	7.49061661E-02	
4.10000000E+01	7.88751081E-02	
4.20000000E+01	8.31346366E-02	
4.30000000E+01	8.76979456E-02	
4.40000000E+01	9.25762081E-02	
4.50000000E+01	9.77789799E-02	
4.60000000E+01	1.03312040E-01	
4.70000000E+01	1.09178810E-01	
4.80000000E+01	1.15378703E-01	
4.90000000E+01	1.21906991E-01	
5.00000000E+01	1.28753289E-01	
5.10000000E+01	1.35903148E-01	
5.20000000E+01	1.43334931E-01	
5.30000000E+01	1.51021084E-01	
5.40000000E+01	1.58926675E-01	
5.50000000E+01	1.67010151E-01	
5.60000000E+01	1.75221595E-01	
5.70000000E+01	1.83503256E-01	
5.80000000E+01	1.91789359E-01	
5.90000000E+01	2.00004667E-01	
6.00000000E+01	2.08068294E-01	
6.10000000E+01	2.15886762E-01	
6.20000000E+01	2.23365122E-01	
6.30000000E+01	2.30395277E-01	
6.40000000E+01	2.36865381E-01	
6.50000000E+01	2.42658942E-01	
6.60000000E+01	2.47653284E-01	
6.70000000E+01	2.51722057E-01	
6.80000000E+01	2.54739135E-01	
6.90000000E+01	2.56576739E-01	
7.00000000E+01	2.57110744E-01	
7.10000000E+01	2.56220901E-01	
7.20000000E+01	2.53794541E-01	
7.30000000E+01	2.49729914E-01	
7.40000000E+01	2.43937002E-01	
7.50000000E+01	2.36345910E-01	
7.60000000E+01	2.26907148E-01	
7.70000000E+01	2.15598902E-01	
7.80000000E+01	2.02432528E-01	
7.90000000E+01	1.87459536E-01	
8.00000000E+01	1.70779792E-01	
8.10000000E+01	1.52551995E-01	
8.20000000E+01	1.33006446E-01	
8.30000000E+01	1.12462454E-01	
8.40000000E+01	9.13473175E-02	
8.50000000E+01	7.02265056E-02	
8.60000000E+01	4.98396349E-02	
8.70000000E+01	3.11512457E-02	
8.80000000E+01	1.54220291E-02	
8.90000000E+01	4.30739978E-03	
9.00000000E+01	0.00000000E+00	
