   x [m], y [m], z [m], azimuth rotation [deg], whole body SAR [W/Kg]
   0.05000,   0.00000,  -4.00000,   0.00000,   0.00001
   0.05000,   0.00000,  -3.20000,   0.00000,   0.00002
   0.05000,   0.00000,  -2.40000,   0.00000,   0.00006
   0.05000,   0.00000,  -1.70000,   0.00000,   0.00041
   0.05000,   0.00000,  -1.00000,   0.00000,   0.14784
   0.05000,   0.00000,  -0.50000,   0.00000,   1.02280
   0.05000,   0.00000,   0.00000,   0.00000,   0.75139
   0.05000,   0.00000,   0.50000,   0.00000,   0.33732
   0.05000,   0.00000,   1.00000,   0.00000,   0.10154
   0.05000,   0.00000,   1.70000,   0.00000,   0.00047
   0.05000,   0.00000,   2.40000,   0.00000,   0.00006
   0.05000,   0.00000,   3.20000,   0.00000,   0.00002
   0.05000,   0.00000,   4.00000,   0.00000,   0.00001
   0.10000,   0.00000,  -4.00000,   0.00000,   0.00001
   0.10000,   0.00000,  -3.20000,   0.00000,   0.00002
   0.10000,   0.00000,  -2.40000,   0.00000,   0.00006
   0.10000,   0.00000,  -1.70000,   0.00000,   0.00034
   0.10000,   0.00000,  -1.00000,   0.00000,   0.06769
   0.10000,   0.00000,  -0.50000,   0.00000,   0.32983
   0.10000,   0.00000,   0.00000,   0.00000,   0.29946
   0.10000,   0.00000,   0.50000,   0.00000,   0.26018
   0.10000,   0.00000,   1.00000,   0.00000,   0.08879
   0.10000,   0.00000,   1.70000,   0.00000,   0.00043
   0.10000,   0.00000,   2.40000,   0.00000,   0.00007
   0.10000,   0.00000,   3.20000,   0.00000,   0.00002
   0.10000,   0.00000,   4.00000,   0.00000,   0.00001
   0.30000,   0.00000,  -4.00000,   0.00000,   0.00001
   0.30000,   0.00000,  -3.20000,   0.00000,   0.00002
   0.30000,   0.00000,  -2.40000,   0.00000,   0.00006
   0.30000,   0.00000,  -1.70000,   0.00000,   0.00019
   0.30000,   0.00000,  -1.00000,   0.00000,   0.03715
   0.30000,   0.00000,  -0.50000,   0.00000,   0.15775
   0.30000,   0.00000,   0.00000,   0.00000,   0.18354
   0.30000,   0.00000,   0.50000,   0.00000,   0.13541
   0.30000,   0.00000,   1.00000,   0.00000,   0.04501
   0.30000,   0.00000,   1.70000,   0.00000,   0.00022
   0.30000,   0.00000,   2.40000,   0.00000,   0.00007
   0.30000,   0.00000,   3.20000,   0.00000,   0.00003
   0.30000,   0.00000,   4.00000,   0.00000,   0.00001
   0.60000,   0.00000,  -4.00000,   0.00000,   0.00002
   0.60000,   0.00000,  -3.20000,   0.00000,   0.00003
   0.60000,   0.00000,  -2.40000,   0.00000,   0.00006
   0.60000,   0.00000,  -1.70000,   0.00000,   0.00019
   0.60000,   0.00000,  -1.00000,   0.00000,   0.01976
   0.60000,   0.00000,  -0.50000,   0.00000,   0.09068
   0.60000,   0.00000,   0.00000,   0.00000,   0.12018
   0.60000,   0.00000,   0.50000,   0.00000,   0.09285
   0.60000,   0.00000,   1.00000,   0.00000,   0.02866
   0.60000,   0.00000,   1.70000,   0.00000,   0.00024
   0.60000,   0.00000,   2.40000,   0.00000,   0.00006
   0.60000,   0.00000,   3.20000,   0.00000,   0.00003
   0.60000,   0.00000,   4.00000,   0.00000,   0.00002
   1.00000,   0.00000,  -4.00000,   0.00000,   0.00002
   1.00000,   0.00000,  -3.20000,   0.00000,   0.00003
   1.00000,   0.00000,  -2.40000,   0.00000,   0.00003
   1.00000,   0.00000,  -1.70000,   0.00000,   0.00019
   1.00000,   0.00000,  -1.00000,   0.00000,   0.01328
   1.00000,   0.00000,  -0.50000,   0.00000,   0.05861
   1.00000,   0.00000,   0.00000,   0.00000,   0.07591
   1.00000,   0.00000,   0.50000,   0.00000,   0.05518
   1.00000,   0.00000,   1.00000,   0.00000,   0.01685
   1.00000,   0.00000,   1.70000,   0.00000,   0.00023
   1.00000,   0.00000,   2.40000,   0.00000,   0.00003
   1.00000,   0.00000,   3.20000,   0.00000,   0.00003
   1.00000,   0.00000,   4.00000,   0.00000,   0.00002
   1.50000,   0.00000,  -4.00000,   0.00000,   0.00001
   1.50000,   0.00000,  -3.20000,   0.00000,   0.00001
   1.50000,   0.00000,  -2.40000,   0.00000,   0.00002
   1.50000,   0.00000,  -1.70000,   0.00000,   0.00029
   1.50000,   0.00000,  -1.00000,   0.00000,   0.01057
   1.50000,   0.00000,  -0.50000,   0.00000,   0.04148
   1.50000,   0.00000,   0.00000,   0.00000,   0.05486
   1.50000,   0.00000,   0.50000,   0.00000,   0.03973
   1.50000,   0.00000,   1.00000,   0.00000,   0.01272
   1.50000,   0.00000,   1.70000,   0.00000,   0.00037
   1.50000,   0.00000,   2.40000,   0.00000,   0.00003
   1.50000,   0.00000,   3.20000,   0.00000,   0.00001
   1.50000,   0.00000,   4.00000,   0.00000,   0.00001
   2.20000,   0.00000,  -4.00000,   0.00000,   0.00000
   2.20000,   0.00000,  -3.20000,   0.00000,   0.00001
   2.20000,   0.00000,  -2.40000,   0.00000,   0.00003
   2.20000,   0.00000,  -1.70000,   0.00000,   0.00045
   2.20000,   0.00000,  -1.00000,   0.00000,   0.00908
   2.20000,   0.00000,  -0.50000,   0.00000,   0.02778
   2.20000,   0.00000,   0.00000,   0.00000,   0.03593
   2.20000,   0.00000,   0.50000,   0.00000,   0.02634
   2.20000,   0.00000,   1.00000,   0.00000,   0.00974
   2.20000,   0.00000,   1.70000,   0.00000,   0.00051
   2.20000,   0.00000,   2.40000,   0.00000,   0.00004
   2.20000,   0.00000,   3.20000,   0.00000,   0.00001
   2.20000,   0.00000,   4.00000,   0.00000,   0.00000
   3.00000,   0.00000,  -4.00000,   0.00000,   0.00001
   3.00000,   0.00000,  -3.20000,   0.00000,   0.00001
   3.00000,   0.00000,  -2.40000,   0.00000,   0.00006
   3.00000,   0.00000,  -1.70000,   0.00000,   0.00072
   3.00000,   0.00000,  -1.00000,   0.00000,   0.00802
   3.00000,   0.00000,  -0.50000,   0.00000,   0.01909
   3.00000,   0.00000,   0.00000,   0.00000,   0.02451
   3.00000,   0.00000,   0.50000,   0.00000,   0.01880
   3.00000,   0.00000,   1.00000,   0.00000,   0.00826
   3.00000,   0.00000,   1.70000,   0.00000,   0.00083
