SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	2.37904091E-02	
1.00000000E+00	2.38435730E-02	
2.00000000E+00	2.39209827E-02	
3.00000000E+00	2.40419674E-02	
4.00000000E+00	2.42367489E-02	
5.00000000E+00	2.45444247E-02	
6.00000000E+00	2.50092134E-02	
7.00000000E+00	2.56745751E-02	
8.00000000E+00	2.65753002E-02	
9.00000000E+00	2.77291705E-02	
1.00000000E+01	2.91303387E-02	
1.10000000E+01	3.07476401E-02	
1.20000000E+01	3.25289003E-02	
1.30000000E+01	3.44094208E-02	
1.40000000E+01	3.63202251E-02	
1.50000000E+01	3.81933915E-02	
1.60000000E+01	3.99689696E-02	
1.70000000E+01	4.16102503E-02	
1.80000000E+01	4.31233307E-02	
1.90000000E+01	4.45567363E-02	
2.00000000E+01	4.59631753E-02	
2.10000000E+01	4.73565324E-02	
2.20000000E+01	4.87311339E-02	
2.30000000E+01	5.01323286E-02	
2.40000000E+01	5.16489086E-02	
2.50000000E+01	5.32832339E-02	
2.60000000E+01	5.49191793E-02	
2.70000000E+01	5.65263533E-02	
2.80000000E+01	5.82333781E-02	
2.90000000E+01	6.00071084E-02	
3.00000000E+01	6.15795487E-02	
3.10000000E+01	6.29937201E-02	
3.20000000E+01	6.46248724E-02	
3.30000000E+01	6.63552227E-02	
3.40000000E+01	6.77432086E-02	
3.50000000E+01	6.89837185E-02	
3.60000000E+01	7.03508952E-02	
3.70000000E+01	7.15702849E-02	
3.80000000E+01	7.27554268E-02	
3.90000000E+01	7.42427634E-02	
4.00000000E+01	7.58484487E-02	
4.10000000E+01	7.73032323E-02	
4.20000000E+01	7.82846179E-02	
4.30000000E+01	7.93436844E-02	
4.40000000E+01	8.13494223E-02	
4.50000000E+01	8.32889292E-02	
4.60000000E+01	8.48162374E-02	
4.70000000E+01	8.63975311E-02	
4.80000000E+01	8.76214593E-02	
4.90000000E+01	8.90467314E-02	
5.00000000E+01	9.10628942E-02	
5.10000000E+01	9.31345796E-02	
5.20000000E+01	9.43418184E-02	
5.30000000E+01	9.56543284E-02	
5.40000000E+01	9.68797644E-02	
5.50000000E+01	9.88032457E-02	
5.60000000E+01	1.01542679E-01	
5.70000000E+01	1.02376348E-01	
5.80000000E+01	1.03377530E-01	
5.90000000E+01	1.04805333E-01	
6.00000000E+01	1.07583583E-01	
6.10000000E+01	1.08608047E-01	
6.20000000E+01	1.10806961E-01	
6.30000000E+01	1.12615059E-01	
6.40000000E+01	1.13828644E-01	
6.50000000E+01	1.14780069E-01	
6.60000000E+01	1.18149584E-01	
6.70000000E+01	1.18814953E-01	
6.80000000E+01	1.21386652E-01	
6.90000000E+01	1.20864366E-01	
7.00000000E+01	1.24693295E-01	
7.10000000E+01	1.25992488E-01	
7.20000000E+01	1.27931628E-01	
7.30000000E+01	1.28498983E-01	
7.40000000E+01	1.26998042E-01	
7.50000000E+01	1.33542351E-01	
7.60000000E+01	1.36066283E-01	
7.70000000E+01	1.34173500E-01	
7.80000000E+01	1.34235208E-01	
7.90000000E+01	1.38985252E-01	
8.00000000E+01	1.41378102E-01	
8.10000000E+01	1.42874779E-01	
8.20000000E+01	1.37821827E-01	
8.30000000E+01	1.42260643E-01	
8.40000000E+01	1.59262519E-01	
8.50000000E+01	1.50728549E-01	
8.60000000E+01	1.48404378E-01	
8.70000000E+01	1.38122827E-01	
8.80000000E+01	1.73952627E-01	
8.90000000E+01	1.89354422E-01	
9.00000000E+01	0.00000000E+00	
