SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	5.69437663E-02	
1.00000000E+00	5.69518682E-02	
2.00000000E+00	5.69669142E-02	
3.00000000E+00	5.69894446E-02	
4.00000000E+00	5.70196121E-02	
5.00000000E+00	5.70567605E-02	
6.00000000E+00	5.71006122E-02	
7.00000000E+00	5.71516551E-02	
8.00000000E+00	5.72087540E-02	
9.00000000E+00	5.72719649E-02	
1.00000000E+01	5.73403359E-02	
1.10000000E+01	5.74141899E-02	
1.20000000E+01	5.74931143E-02	
1.30000000E+01	5.75750102E-02	
1.40000000E+01	5.76609771E-02	
1.50000000E+01	5.77496654E-02	
1.60000000E+01	5.78402785E-02	
1.70000000E+01	5.79318438E-02	
1.80000000E+01	5.80234701E-02	
1.90000000E+01	5.81143839E-02	
2.00000000E+01	5.82033026E-02	
2.10000000E+01	5.82889344E-02	
2.20000000E+01	5.83703269E-02	
2.30000000E+01	5.84459594E-02	
2.40000000E+01	5.85148635E-02	
2.50000000E+01	5.85752788E-02	
2.60000000E+01	5.86253405E-02	
2.70000000E+01	5.86636217E-02	
2.80000000E+01	5.86884092E-02	
2.90000000E+01	5.86977821E-02	
3.00000000E+01	5.86900569E-02	
3.10000000E+01	5.86633292E-02	
3.20000000E+01	5.86145438E-02	
3.30000000E+01	5.85432304E-02	
3.40000000E+01	5.84459919E-02	
3.50000000E+01	5.83204964E-02	
3.60000000E+01	5.81657674E-02	
3.70000000E+01	5.79778233E-02	
3.80000000E+01	5.77554827E-02	
3.90000000E+01	5.74958909E-02	
4.00000000E+01	5.71965855E-02	
4.10000000E+01	5.68550995E-02	
4.20000000E+01	5.64700366E-02	
4.30000000E+01	5.60385158E-02	
4.40000000E+01	5.55576910E-02	
4.50000000E+01	5.50263539E-02	
4.60000000E+01	5.44428976E-02	
4.70000000E+01	5.38039203E-02	
4.80000000E+01	5.31091745E-02	
4.90000000E+01	5.23563174E-02	
5.00000000E+01	5.15441636E-02	
5.10000000E+01	5.06717840E-02	
5.20000000E+01	4.97384815E-02	
5.30000000E+01	4.87427439E-02	
5.40000000E+01	4.76859332E-02	
5.50000000E+01	4.65666130E-02	
5.60000000E+01	4.53862008E-02	
5.70000000E+01	4.41447113E-02	
5.80000000E+01	4.28438143E-02	
5.90000000E+01	4.14851960E-02	
6.00000000E+01	4.00701938E-02	
6.10000000E+01	3.86025487E-02	
6.20000000E+01	3.70840492E-02	
6.30000000E+01	3.55188581E-02	
6.40000000E+01	3.39107554E-02	
6.50000000E+01	3.22643158E-02	
6.60000000E+01	3.05840674E-02	
6.70000000E+01	2.88761937E-02	
6.80000000E+01	2.71457658E-02	
6.90000000E+01	2.53998638E-02	
7.00000000E+01	2.36451531E-02	
7.10000000E+01	2.18889603E-02	
7.20000000E+01	2.01389867E-02	
7.30000000E+01	1.84032994E-02	
7.40000000E+01	1.66906621E-02	
7.50000000E+01	1.50097258E-02	
7.60000000E+01	1.33694601E-02	
7.70000000E+01	1.17794096E-02	
7.80000000E+01	1.02490224E-02	
7.90000000E+01	8.78805137E-03	
8.00000000E+01	7.40595845E-03	
8.10000000E+01	6.11272957E-03	
8.20000000E+01	4.91795657E-03	
8.30000000E+01	3.83123952E-03	
8.40000000E+01	2.86191309E-03	
8.50000000E+01	2.01922418E-03	
8.60000000E+01	1.31197252E-03	
8.70000000E+01	7.48656106E-04	
8.80000000E+01	3.37280267E-04	
8.90000000E+01	8.54061857E-05	
9.00000000E+01	0.00000000E+00	
