SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	3.64845309E-02	
1.00000000E+00	3.64820298E-02	
2.00000000E+00	3.65386741E-02	
3.00000000E+00	3.66538518E-02	
4.00000000E+00	3.68268569E-02	
5.00000000E+00	3.70565920E-02	
6.00000000E+00	3.73416390E-02	
7.00000000E+00	3.76803419E-02	
8.00000000E+00	3.80708170E-02	
9.00000000E+00	3.85108901E-02	
1.00000000E+01	3.89983425E-02	
1.10000000E+01	3.95308486E-02	
1.20000000E+01	4.01057474E-02	
1.30000000E+01	4.07207759E-02	
1.40000000E+01	4.13734591E-02	
1.50000000E+01	4.20615183E-02	
1.60000000E+01	4.27829694E-02	
1.70000000E+01	4.35361081E-02	
1.80000000E+01	4.43196655E-02	
1.90000000E+01	4.51327928E-02	
2.00000000E+01	4.59755132E-02	
2.10000000E+01	4.68483307E-02	
2.20000000E+01	4.77528687E-02	
2.30000000E+01	4.86918012E-02	
2.40000000E+01	4.96687330E-02	
2.50000000E+01	5.06889021E-02	
2.60000000E+01	5.17588686E-02	
2.70000000E+01	5.28866933E-02	
2.80000000E+01	5.40825715E-02	
2.90000000E+01	5.53584264E-02	
3.00000000E+01	5.67278620E-02	
3.10000000E+01	5.82074088E-02	
3.20000000E+01	5.98154092E-02	
3.30000000E+01	6.15728497E-02	
3.40000000E+01	6.35029917E-02	
3.50000000E+01	6.56316587E-02	
3.60000000E+01	6.79877113E-02	
3.70000000E+01	7.06020408E-02	
3.80000000E+01	7.35086828E-02	
3.90000000E+01	7.67434566E-02	
4.00000000E+01	8.03446259E-02	
4.10000000E+01	8.43535235E-02	
4.20000000E+01	8.88124073E-02	
4.30000000E+01	9.37659187E-02	
4.40000000E+01	9.92595433E-02	
4.50000000E+01	1.05340297E-01	
4.60000000E+01	1.12055086E-01	
4.70000000E+01	1.19451498E-01	
4.80000000E+01	1.27576174E-01	
4.90000000E+01	1.36474687E-01	
5.00000000E+01	1.46190884E-01	
5.10000000E+01	1.56766041E-01	
5.20000000E+01	1.68238472E-01	
5.30000000E+01	1.80641929E-01	
5.40000000E+01	1.94005549E-01	
5.50000000E+01	2.08352767E-01	
5.60000000E+01	2.23700900E-01	
5.70000000E+01	2.40060207E-01	
5.80000000E+01	2.57431101E-01	
5.90000000E+01	2.75807409E-01	
6.00000000E+01	2.95173451E-01	
6.10000000E+01	3.15501759E-01	
6.20000000E+01	3.36756780E-01	
6.30000000E+01	3.58889894E-01	
6.40000000E+01	3.81843169E-01	
6.50000000E+01	4.05545615E-01	
6.60000000E+01	4.29916535E-01	
6.70000000E+01	4.54862864E-01	
6.80000000E+01	4.80281567E-01	
6.90000000E+01	5.06059340E-01	
7.00000000E+01	5.32072998E-01	
7.10000000E+01	5.58188803E-01	
7.20000000E+01	5.84268118E-01	
7.30000000E+01	6.10163327E-01	
7.40000000E+01	6.35722102E-01	
7.50000000E+01	6.60786431E-01	
7.60000000E+01	6.85199127E-01	
7.70000000E+01	7.08797755E-01	
7.80000000E+01	7.31425614E-01	
7.90000000E+01	7.52923964E-01	
8.00000000E+01	7.73141266E-01	
8.10000000E+01	7.91929108E-01	
8.20000000E+01	8.09149896E-01	
8.30000000E+01	8.24673768E-01	
8.40000000E+01	8.38381393E-01	
8.50000000E+01	8.50170188E-01	
8.60000000E+01	8.59942729E-01	
8.70000000E+01	8.67627042E-01	
8.80000000E+01	8.73159513E-01	
8.90000000E+01	8.76496782E-01	
9.00000000E+01	8.77612614E-01	
