SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	1.14258905E-01	
1.00000000E+00	1.13860831E-01	
2.00000000E+00	1.13678836E-01	
3.00000000E+00	1.13727582E-01	
4.00000000E+00	1.14026510E-01	
5.00000000E+00	1.14598747E-01	
6.00000000E+00	1.15470772E-01	
7.00000000E+00	1.16670506E-01	
8.00000000E+00	1.18225697E-01	
9.00000000E+00	1.20161201E-01	
1.00000000E+01	1.22495951E-01	
1.10000000E+01	1.25239409E-01	
1.20000000E+01	1.28387723E-01	
1.30000000E+01	1.31919496E-01	
1.40000000E+01	1.35791963E-01	
1.50000000E+01	1.39938584E-01	
1.60000000E+01	1.44266797E-01	
1.70000000E+01	1.48659185E-01	
1.80000000E+01	1.52976621E-01	
1.90000000E+01	1.57065379E-01	
2.00000000E+01	1.60767740E-01	
2.10000000E+01	1.63936483E-01	
2.20000000E+01	1.66452302E-01	
2.30000000E+01	1.68242713E-01	
2.40000000E+01	1.69300678E-01	
2.50000000E+01	1.69699390E-01	
2.60000000E+01	1.69600122E-01	
2.70000000E+01	1.69249846E-01	
2.80000000E+01	1.68966042E-01	
2.90000000E+01	1.69106568E-01	
3.00000000E+01	1.70026218E-01	
3.10000000E+01	1.72024111E-01	
3.20000000E+01	1.75287620E-01	
3.30000000E+01	1.79842451E-01	
3.40000000E+01	1.85520907E-01	
3.50000000E+01	1.91957196E-01	
3.60000000E+01	1.98616763E-01	
3.70000000E+01	2.04863323E-01	
3.80000000E+01	2.10053684E-01	
3.90000000E+01	2.13650104E-01	
4.00000000E+01	2.15326394E-01	
4.10000000E+01	2.15043077E-01	
4.20000000E+01	2.13072240E-01	
4.30000000E+01	2.09956534E-01	
4.40000000E+01	2.06405622E-01	
4.50000000E+01	2.03147259E-01	
4.60000000E+01	2.00767825E-01	
4.70000000E+01	1.99583276E-01	
4.80000000E+01	1.99577703E-01	
4.90000000E+01	2.00432818E-01	
5.00000000E+01	2.01644525E-01	
5.10000000E+01	2.02693800E-01	
5.20000000E+01	2.03219534E-01	
5.30000000E+01	2.03132991E-01	
5.40000000E+01	2.02632318E-01	
5.50000000E+01	2.02106580E-01	
5.60000000E+01	2.01963984E-01	
5.70000000E+01	2.02452187E-01	
5.80000000E+01	2.03548137E-01	
5.90000000E+01	2.04975880E-01	
6.00000000E+01	2.06353751E-01	
6.10000000E+01	2.07415044E-01	
6.20000000E+01	2.08196559E-01	
6.30000000E+01	2.09089505E-01	
6.40000000E+01	2.10693532E-01	
6.50000000E+01	2.13507229E-01	
6.60000000E+01	2.17580609E-01	
6.70000000E+01	2.22308460E-01	
6.80000000E+01	2.26514201E-01	
6.90000000E+01	2.28860454E-01	
7.00000000E+01	2.28464669E-01	
7.10000000E+01	2.25452991E-01	
7.20000000E+01	2.21152015E-01	
7.30000000E+01	2.17718028E-01	
7.40000000E+01	2.17239798E-01	
7.50000000E+01	2.20622773E-01	
7.60000000E+01	2.26755136E-01	
7.70000000E+01	2.32447020E-01	
7.80000000E+01	2.33382692E-01	
7.90000000E+01	2.25904981E-01	
8.00000000E+01	2.09015728E-01	
8.10000000E+01	1.85738593E-01	
8.20000000E+01	1.63091298E-01	
8.30000000E+01	1.50375383E-01	
8.40000000E+01	1.56154307E-01	
8.50000000E+01	1.84908992E-01	
8.60000000E+01	2.34638161E-01	
8.70000000E+01	2.96461389E-01	
8.80000000E+01	3.56610309E-01	
8.90000000E+01	4.00308660E-01	
9.00000000E+01	4.16277984E-01	
