SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	1.58291397E-01	
1.00000000E+00	1.58638914E-01	
2.00000000E+00	1.59759441E-01	
3.00000000E+00	1.61645069E-01	
4.00000000E+00	1.64283158E-01	
5.00000000E+00	1.67656111E-01	
6.00000000E+00	1.71740597E-01	
7.00000000E+00	1.76506450E-01	
8.00000000E+00	1.81916896E-01	
9.00000000E+00	1.87926407E-01	
1.00000000E+01	1.94481004E-01	
1.10000000E+01	2.01516448E-01	
1.20000000E+01	2.08958390E-01	
1.30000000E+01	2.16720768E-01	
1.40000000E+01	2.24706920E-01	
1.50000000E+01	2.32808498E-01	
1.60000000E+01	2.40906910E-01	
1.70000000E+01	2.48873902E-01	
1.80000000E+01	2.56573635E-01	
1.90000000E+01	2.63864960E-01	
2.00000000E+01	2.70604776E-01	
2.10000000E+01	2.76652021E-01	
2.20000000E+01	2.81872043E-01	
2.30000000E+01	2.86142122E-01	
2.40000000E+01	2.89357160E-01	
2.50000000E+01	2.91435429E-01	
2.60000000E+01	2.92324850E-01	
2.70000000E+01	2.92008328E-01	
2.80000000E+01	2.90508643E-01	
2.90000000E+01	2.87892164E-01	
3.00000000E+01	2.84270413E-01	
3.10000000E+01	2.79800015E-01	
3.20000000E+01	2.74679811E-01	
3.30000000E+01	2.69145442E-01	
3.40000000E+01	2.63461201E-01	
3.50000000E+01	2.57907545E-01	
3.60000000E+01	2.52768387E-01	
3.70000000E+01	2.48314854E-01	
3.80000000E+01	2.44786598E-01	
3.90000000E+01	2.42376480E-01	
4.00000000E+01	2.41212624E-01	
4.10000000E+01	2.41345267E-01	
4.20000000E+01	2.42737198E-01	
4.30000000E+01	2.45258944E-01	
4.40000000E+01	2.48691666E-01	
4.50000000E+01	2.52735784E-01	
4.60000000E+01	2.57029198E-01	
4.70000000E+01	2.61170458E-01	
4.80000000E+01	2.64749497E-01	
4.90000000E+01	2.67380630E-01	
5.00000000E+01	2.68738408E-01	
5.10000000E+01	2.68589776E-01	
5.20000000E+01	2.66821918E-01	
5.30000000E+01	2.63461155E-01	
5.40000000E+01	2.58679421E-01	
5.50000000E+01	2.52786359E-01	
5.60000000E+01	2.46209710E-01	
5.70000000E+01	2.39456515E-01	
5.80000000E+01	2.33067196E-01	
5.90000000E+01	2.27559207E-01	
6.00000000E+01	2.23369037E-01	
6.10000000E+01	2.20798312E-01	
6.20000000E+01	2.19970439E-01	
6.30000000E+01	2.20803680E-01	
6.40000000E+01	2.23008482E-01	
6.50000000E+01	2.26106906E-01	
6.60000000E+01	2.29480559E-01	
6.70000000E+01	2.32437240E-01	
6.80000000E+01	2.34299440E-01	
6.90000000E+01	2.34495409E-01	
7.00000000E+01	2.32651287E-01	
7.10000000E+01	2.28667821E-01	
7.20000000E+01	2.22769678E-01	
7.30000000E+01	2.15523642E-01	
7.40000000E+01	2.07813604E-01	
7.50000000E+01	2.00775645E-01	
7.60000000E+01	1.95694239E-01	
7.70000000E+01	1.93869889E-01	
7.80000000E+01	1.96470335E-01	
7.90000000E+01	2.04381766E-01	
8.00000000E+01	2.18078386E-01	
8.10000000E+01	2.37526140E-01	
8.20000000E+01	2.62134218E-01	
8.30000000E+01	2.90764532E-01	
8.40000000E+01	3.21799457E-01	
8.50000000E+01	3.53266556E-01	
8.60000000E+01	3.83006586E-01	
8.70000000E+01	4.08869364E-01	
8.80000000E+01	4.28915653E-01	
8.90000000E+01	4.41605706E-01	
9.00000000E+01	4.45949269E-01	
