SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	6.24642032E-03	
1.00000000E+00	6.42885586E-03	
2.00000000E+00	7.02101118E-03	
3.00000000E+00	8.02464367E-03	
4.00000000E+00	9.44267889E-03	
5.00000000E+00	1.12791431E-02	
6.00000000E+00	1.35391406E-02	
7.00000000E+00	1.62290015E-02	
8.00000000E+00	1.93561067E-02	
9.00000000E+00	2.29288816E-02	
1.00000000E+01	2.69568777E-02	
1.10000000E+01	3.14505771E-02	
1.20000000E+01	3.64216731E-02	
1.30000000E+01	4.18825944E-02	
1.40000000E+01	4.78469032E-02	
1.50000000E+01	5.43292662E-02	
1.60000000E+01	6.13447129E-02	
1.70000000E+01	6.89096949E-02	
1.80000000E+01	7.70405999E-02	
1.90000000E+01	8.57555485E-02	
2.00000000E+01	9.50726817E-02	
2.10000000E+01	1.05010711E-01	
2.20000000E+01	1.15588971E-01	
2.30000000E+01	1.26827139E-01	
2.40000000E+01	1.38745412E-01	
2.50000000E+01	1.51363492E-01	
2.60000000E+01	1.64701920E-01	
2.70000000E+01	1.78780691E-01	
2.80000000E+01	1.93619480E-01	
2.90000000E+01	2.09238300E-01	
3.00000000E+01	2.25655860E-01	
3.10000000E+01	2.42890597E-01	
3.20000000E+01	2.60959111E-01	
3.30000000E+01	2.79878956E-01	
3.40000000E+01	2.99665474E-01	
3.50000000E+01	3.20330922E-01	
3.60000000E+01	3.41889375E-01	
3.70000000E+01	3.64349307E-01	
3.80000000E+01	3.87719163E-01	
3.90000000E+01	4.12006141E-01	
4.00000000E+01	4.37212379E-01	
4.10000000E+01	4.63340275E-01	
4.20000000E+01	4.90385363E-01	
4.30000000E+01	5.18341528E-01	
4.40000000E+01	5.47203801E-01	
4.50000000E+01	5.76954915E-01	
4.60000000E+01	6.07584268E-01	
4.70000000E+01	6.39065541E-01	
4.80000000E+01	6.71379370E-01	
4.90000000E+01	7.04492593E-01	
5.00000000E+01	7.38376052E-01	
5.10000000E+01	7.72991908E-01	
5.20000000E+01	8.08297968E-01	
5.30000000E+01	8.44243323E-01	
5.40000000E+01	8.80779904E-01	
5.50000000E+01	9.17851390E-01	
5.60000000E+01	9.55398488E-01	
5.70000000E+01	9.93350369E-01	
5.80000000E+01	1.03164111E+00	
5.90000000E+01	1.07018470E+00	
6.00000000E+01	1.10891726E+00	
6.10000000E+01	1.14774871E+00	
6.20000000E+01	1.18659480E+00	
6.30000000E+01	1.22535750E+00	
6.40000000E+01	1.26394830E+00	
6.50000000E+01	1.30227154E+00	
6.60000000E+01	1.34021809E+00	
6.70000000E+01	1.37769786E+00	
6.80000000E+01	1.41459626E+00	
6.90000000E+01	1.45082059E+00	
7.00000000E+01	1.48625128E+00	
7.10000000E+01	1.52079115E+00	
7.20000000E+01	1.55433495E+00	
7.30000000E+01	1.58677349E+00	
7.40000000E+01	1.61800360E+00	
7.50000000E+01	1.64792809E+00	
7.60000000E+01	1.67644389E+00	
7.70000000E+01	1.70345678E+00	
7.80000000E+01	1.72887623E+00	
7.90000000E+01	1.75260563E+00	
8.00000000E+01	1.77457794E+00	
8.10000000E+01	1.79470262E+00	
8.20000000E+01	1.81290894E+00	
8.30000000E+01	1.82913599E+00	
8.40000000E+01	1.84332425E+00	
8.50000000E+01	1.85541731E+00	
8.60000000E+01	1.86537917E+00	
8.70000000E+01	1.87315829E+00	
8.80000000E+01	1.87873690E+00	
8.90000000E+01	1.88209574E+00	
9.00000000E+01	1.88321694E+00	
