x [m],y [m],z [m],zrot [deg.],wba SAR [W/kg]
5.000000E-02,0.000000E+00,-2.000000E-01,0.000000E+00,3.011100E-01
5.000000E-02,0.000000E+00,2.000000E-01,0.000000E+00,3.015700E-01
7.000000E-02,0.000000E+00,-2.000000E-01,0.000000E+00,3.328200E-01
7.000000E-02,0.000000E+00,2.000000E-01,0.000000E+00,2.968300E-01
1.000000E-01,0.000000E+00,-2.000000E-01,0.000000E+00,2.623700E-01
1.000000E-01,0.000000E+00,2.000000E-01,0.000000E+00,2.451000E-01
2.000000E-01,0.000000E+00,-2.000000E-01,0.000000E+00,2.348100E-01
2.000000E-01,0.000000E+00,2.000000E-01,0.000000E+00,1.905600E-01
3.000000E-01,0.000000E+00,-2.000000E-01,0.000000E+00,2.078500E-01
3.000000E-01,0.000000E+00,2.000000E-01,0.000000E+00,1.647100E-01
6.000000E-01,0.000000E+00,-2.000000E-01,0.000000E+00,1.242300E-01
6.000000E-01,0.000000E+00,2.000000E-01,0.000000E+00,9.623400E-02
1.000000E+00,0.000000E+00,-2.000000E-01,0.000000E+00,7.991900E-02
1.000000E+00,0.000000E+00,2.000000E-01,0.000000E+00,5.999900E-02
1.500000E+00,0.000000E+00,-2.000000E-01,0.000000E+00,5.502200E-02
1.500000E+00,0.000000E+00,2.000000E-01,0.000000E+00,4.100800E-02
2.200000E+00,0.000000E+00,-2.000000E-01,0.000000E+00,3.727800E-02
2.200000E+00,0.000000E+00,2.000000E-01,0.000000E+00,2.848400E-02
3.000000E+00,0.000000E+00,-2.000000E-01,0.000000E+00,2.691000E-02
3.000000E+00,0.000000E+00,2.000000E-01,0.000000E+00,2.103500E-02
4.000000E+00,0.000000E+00,-2.000000E-01,0.000000E+00,1.925900E-02
4.000000E+00,0.000000E+00,2.000000E-01,0.000000E+00,1.570100E-02
5.000000E+00,0.000000E+00,-2.000000E-01,0.000000E+00,1.440700E-02
5.000000E+00,0.000000E+00,2.000000E-01,0.000000E+00,1.238200E-02
