x [m],y [m],z [m],zrot [deg.],wba SAR [W/kg]
2.20E+00,0.00E+00,1.00E+00,0.00E+00,2.78E-03
2.20E+00,0.00E+00,1.50E+00,0.00E+00,2.82E-04
2.20E+00,0.00E+00,2.00E+00,0.00E+00,1.60E-04
3.00E+00,0.00E+00,-2.00E+00,0.00E+00,1.43E-04
3.00E+00,0.00E+00,-1.50E+00,0.00E+00,2.38E-04
3.00E+00,0.00E+00,-1.00E+00,0.00E+00,2.03E-03
3.00E+00,0.00E+00,-5.00E-01,0.00E+00,1.74E-02
3.00E+00,0.00E+00,0.00E+00,0.00E+00,2.70E-02
3.00E+00,0.00E+00,5.00E-01,0.00E+00,1.25E-02
3.00E+00,0.00E+00,1.00E+00,0.00E+00,2.53E-03
3.00E+00,0.00E+00,1.50E+00,0.00E+00,2.44E-04
3.00E+00,0.00E+00,2.00E+00,0.00E+00,1.34E-04
4.00E+00,0.00E+00,-2.00E+00,0.00E+00,1.12E-04
4.00E+00,0.00E+00,-1.50E+00,0.00E+00,2.21E-04
4.00E+00,0.00E+00,-1.00E+00,0.00E+00,2.01E-03
4.00E+00,0.00E+00,-5.00E-01,0.00E+00,1.29E-02
4.00E+00,0.00E+00,0.00E+00,0.00E+00,1.91E-02
4.00E+00,0.00E+00,5.00E-01,0.00E+00,9.66E-03
4.00E+00,0.00E+00,1.00E+00,0.00E+00,2.39E-03
4.00E+00,0.00E+00,1.50E+00,0.00E+00,2.34E-04
4.00E+00,0.00E+00,2.00E+00,0.00E+00,1.00E-04
5.00E+00,0.00E+00,-2.00E+00,0.00E+00,9.72E-05
5.00E+00,0.00E+00,-1.50E+00,0.00E+00,2.07E-04
5.00E+00,0.00E+00,-1.00E+00,0.00E+00,2.07E-03
5.00E+00,0.00E+00,-5.00E-01,0.00E+00,1.02E-02
5.00E+00,0.00E+00,0.00E+00,0.00E+00,1.44E-02
5.00E+00,0.00E+00,5.00E-01,0.00E+00,7.93E-03
5.00E+00,0.00E+00,1.00E+00,0.00E+00,2.20E-03
5.00E+00,0.00E+00,1.50E+00,0.00E+00,2.07E-04
5.00E+00,0.00E+00,2.00E+00,0.00E+00,9.79E-05
5.00E-02,0.00E+00,-2.00E-01,0.00E+00,3.01E-01
5.00E-02,0.00E+00,2.00E-01,0.00E+00,3.02E-01
7.00E-02,0.00E+00,-2.00E-01,0.00E+00,3.33E-01
7.00E-02,0.00E+00,2.00E-01,0.00E+00,2.97E-01
1.00E-01,0.00E+00,-2.00E-01,0.00E+00,2.62E-01
1.00E-01,0.00E+00,2.00E-01,0.00E+00,2.45E-01
2.00E-01,0.00E+00,-2.00E-01,0.00E+00,2.35E-01
2.00E-01,0.00E+00,2.00E-01,0.00E+00,1.91E-01
3.00E-01,0.00E+00,-2.00E-01,0.00E+00,2.08E-01
3.00E-01,0.00E+00,2.00E-01,0.00E+00,1.65E-01
6.00E-01,0.00E+00,-2.00E-01,0.00E+00,1.24E-01
6.00E-01,0.00E+00,2.00E-01,0.00E+00,9.62E-02
1.00E+00,0.00E+00,-2.00E-01,0.00E+00,7.99E-02
1.00E+00,0.00E+00,2.00E-01,0.00E+00,6.00E-02
1.50E+00,0.00E+00,-2.00E-01,0.00E+00,5.50E-02
1.50E+00,0.00E+00,2.00E-01,0.00E+00,4.10E-02
2.20E+00,0.00E+00,-2.00E-01,0.00E+00,3.73E-02
2.20E+00,0.00E+00,2.00E-01,0.00E+00,2.85E-02
3.00E+00,0.00E+00,-2.00E-01,0.00E+00,2.69E-02
3.00E+00,0.00E+00,2.00E-01,0.00E+00,2.10E-02
4.00E+00,0.00E+00,-2.00E-01,0.00E+00,1.93E-02
4.00E+00,0.00E+00,2.00E-01,0.00E+00,1.57E-02
5.00E+00,0.00E+00,-2.00E-01,0.00E+00,1.44E-02
5.00E+00,0.00E+00,2.00E-01,0.00E+00,1.24E-02
