   x [m], y [m], z [m], azimuth rotation [deg], whole body SAR [W/Kg]
   0.05000,   0.00000,  -2.50000,   0.00000,   0.00021
   0.05000,   0.00000,  -1.70000,   0.00000,   0.02254
   0.05000,   0.00000,  -1.00000,   0.00000,   0.63045
   0.05000,   0.00000,  -0.50000,   0.00000,   1.02730
   0.05000,   0.00000,   0.00000,   0.00000,   1.12170
   0.05000,   0.00000,   0.50000,   0.00000,   0.64418
   0.05000,   0.00000,   1.00000,   0.00000,   0.26517
   0.05000,   0.00000,   1.70000,   0.00000,   0.01977
   0.05000,   0.00000,   2.50000,   0.00000,   0.00024
   0.10000,   0.00000,  -2.50000,   0.00000,   0.00020
   0.10000,   0.00000,  -1.70000,   0.00000,   0.01041
   0.10000,   0.00000,  -1.00000,   0.00000,   0.20335
   0.10000,   0.00000,  -0.50000,   0.00000,   0.38794
   0.10000,   0.00000,   0.00000,   0.00000,   0.46762
   0.10000,   0.00000,   0.50000,   0.00000,   0.29931
   0.10000,   0.00000,   1.00000,   0.00000,   0.15700
   0.10000,   0.00000,   1.70000,   0.00000,   0.01189
   0.10000,   0.00000,   2.50000,   0.00000,   0.00024
   0.30000,   0.00000,  -2.50000,   0.00000,   0.00016
   0.30000,   0.00000,  -1.70000,   0.00000,   0.00335
   0.30000,   0.00000,  -1.00000,   0.00000,   0.05649
   0.30000,   0.00000,  -0.50000,   0.00000,   0.12712
   0.30000,   0.00000,   0.00000,   0.00000,   0.16690
   0.30000,   0.00000,   0.50000,   0.00000,   0.13956
   0.30000,   0.00000,   1.00000,   0.00000,   0.07742
   0.30000,   0.00000,   1.70000,   0.00000,   0.00570
   0.30000,   0.00000,   2.50000,   0.00000,   0.00018
   0.60000,   0.00000,  -2.50000,   0.00000,   0.00011
   0.60000,   0.00000,  -1.70000,   0.00000,   0.00193
   0.60000,   0.00000,  -1.00000,   0.00000,   0.03052
   0.60000,   0.00000,  -0.50000,   0.00000,   0.07183
   0.60000,   0.00000,   0.00000,   0.00000,   0.09362
   0.60000,   0.00000,   0.50000,   0.00000,   0.07496
   0.60000,   0.00000,   1.00000,   0.00000,   0.03575
   0.60000,   0.00000,   1.70000,   0.00000,   0.00306
   0.60000,   0.00000,   2.50000,   0.00000,   0.00011
   1.00000,   0.00000,  -2.50000,   0.00000,   0.00007
   1.00000,   0.00000,  -1.70000,   0.00000,   0.00148
   1.00000,   0.00000,  -1.00000,   0.00000,   0.02088
   1.00000,   0.00000,  -0.50000,   0.00000,   0.04835
   1.00000,   0.00000,   0.00000,   0.00000,   0.06276
   1.00000,   0.00000,   0.50000,   0.00000,   0.05010
   1.00000,   0.00000,   1.00000,   0.00000,   0.02454
   1.00000,   0.00000,   1.70000,   0.00000,   0.00221
   1.00000,   0.00000,   2.50000,   0.00000,   0.00008
   1.50000,   0.00000,  -2.50000,   0.00000,   0.00007
   1.50000,   0.00000,  -1.70000,   0.00000,   0.00141
   1.50000,   0.00000,  -1.00000,   0.00000,   0.01563
   1.50000,   0.00000,  -0.50000,   0.00000,   0.03660
   1.50000,   0.00000,   0.00000,   0.00000,   0.04711
   1.50000,   0.00000,   0.50000,   0.00000,   0.03776
   1.50000,   0.00000,   1.00000,   0.00000,   0.01808
   1.50000,   0.00000,   1.70000,   0.00000,   0.00198
   1.50000,   0.00000,   2.50000,   0.00000,   0.00009
   2.20000,   0.00000,  -2.50000,   0.00000,   0.00009
   2.20000,   0.00000,  -1.70000,   0.00000,   0.00140
   2.20000,   0.00000,  -1.00000,   0.00000,   0.01085
   2.20000,   0.00000,  -0.50000,   0.00000,   0.02444
   2.20000,   0.00000,   0.00000,   0.00000,   0.03077
   2.20000,   0.00000,   0.50000,   0.00000,   0.02480
   2.20000,   0.00000,   1.00000,   0.00000,   0.01240
   2.20000,   0.00000,   1.70000,   0.00000,   0.00183
   2.20000,   0.00000,   2.50000,   0.00000,   0.00012
   3.00000,   0.00000,  -2.50000,   0.00000,   0.00014
   3.00000,   0.00000,  -1.70000,   0.00000,   0.00147
   3.00000,   0.00000,  -1.00000,   0.00000,   0.00874
   3.00000,   0.00000,  -0.50000,   0.00000,   0.01782
   3.00000,   0.00000,   0.00000,   0.00000,   0.02197
   3.00000,   0.00000,   0.50000,   0.00000,   0.01790
   3.00000,   0.00000,   1.00000,   0.00000,   0.00962
   3.00000,   0.00000,   1.70000,   0.00000,   0.00183
   3.00000,   0.00000,   2.50000,   0.00000,   0.00019
   3.90000,   0.00000,  -2.50000,   0.00000,   0.00019
   3.90000,   0.00000,  -1.70000,   0.00000,   0.00163
   3.90000,   0.00000,  -1.00000,   0.00000,   0.00736
   3.90000,   0.00000,  -0.50000,   0.00000,   0.01314
   3.90000,   0.00000,   0.00000,   0.00000,   0.01557
   3.90000,   0.00000,   0.50000,   0.00000,   0.01300
   3.90000,   0.00000,   1.00000,   0.00000,   0.00773
   3.90000,   0.00000,   1.70000,   0.00000,   0.00196
   3.90000,   0.00000,   2.50000,   0.00000,   0.00024
   5.00000,   0.00000,  -2.50000,   0.00000,   0.00028
   5.00000,   0.00000,  -1.70000,   0.00000,   0.00191
   5.00000,   0.00000,  -1.00000,   0.00000,   0.00610
   5.00000,   0.00000,  -0.50000,   0.00000,   0.00949
   5.00000,   0.00000,   0.00000,   0.00000,   0.01082
   5.00000,   0.00000,   0.50000,   0.00000,   0.00933
   5.00000,   0.00000,   1.00000,   0.00000,   0.00622
   5.00000,   0.00000,   1.70000,   0.00000,   0.00218
   5.00000,   0.00000,   2.50000,   0.00000,   0.00034
