x [m], y [m], z [m], azimuth rotation [deg], whole body SAR [W/Kg]
5.000000E-02,0.000000E+00,-3.800000E+00,0.000000E+00,4.482400E-06
5.000000E-02,0.000000E+00,-3.000000E+00,0.000000E+00,1.215700E-05
5.000000E-02,0.000000E+00,-2.300000E+00,0.000000E+00,3.860500E-05
5.000000E-02,0.000000E+00,-1.600000E+00,0.000000E+00,2.130900E-04
5.000000E-02,0.000000E+00,-1.000000E+00,0.000000E+00,1.383400E-01
5.000000E-02,0.000000E+00,-5.000000E-01,0.000000E+00,7.935900E-01
5.000000E-02,0.000000E+00,0.000000E+00,0.000000E+00,5.190900E-01
5.000000E-02,0.000000E+00,5.000000E-01,0.000000E+00,3.714200E-01
5.000000E-02,0.000000E+00,1.000000E+00,0.000000E+00,7.805500E-02
5.000000E-02,0.000000E+00,1.600000E+00,0.000000E+00,2.730700E-04
5.000000E-02,0.000000E+00,2.300000E+00,0.000000E+00,4.348900E-05
5.000000E-02,0.000000E+00,3.000000E+00,0.000000E+00,1.314600E-05
5.000000E-02,0.000000E+00,3.800000E+00,0.000000E+00,4.750600E-06
1.000000E-01,0.000000E+00,-3.800000E+00,0.000000E+00,4.940800E-06
1.000000E-01,0.000000E+00,-3.000000E+00,0.000000E+00,1.315200E-05
1.000000E-01,0.000000E+00,-2.300000E+00,0.000000E+00,4.001400E-05
1.000000E-01,0.000000E+00,-1.600000E+00,0.000000E+00,1.807500E-04
1.000000E-01,0.000000E+00,-1.000000E+00,0.000000E+00,4.144900E-02
1.000000E-01,0.000000E+00,-5.000000E-01,0.000000E+00,3.097300E-01
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,3.143700E-01
1.000000E-01,0.000000E+00,5.000000E-01,0.000000E+00,4.109500E-01
1.000000E-01,0.000000E+00,1.000000E+00,0.000000E+00,7.579800E-02
1.000000E-01,0.000000E+00,1.600000E+00,0.000000E+00,2.517100E-04
1.000000E-01,0.000000E+00,2.300000E+00,0.000000E+00,4.654700E-05
1.000000E-01,0.000000E+00,3.000000E+00,0.000000E+00,1.454700E-05
1.000000E-01,0.000000E+00,3.800000E+00,0.000000E+00,5.333400E-06
3.000000E-01,0.000000E+00,-3.800000E+00,0.000000E+00,7.949700E-06
3.000000E-01,0.000000E+00,-3.000000E+00,0.000000E+00,1.921200E-05
3.000000E-01,0.000000E+00,-2.300000E+00,0.000000E+00,4.717000E-05
3.000000E-01,0.000000E+00,-1.600000E+00,0.000000E+00,1.227000E-04
3.000000E-01,0.000000E+00,-1.000000E+00,0.000000E+00,2.066200E-02
3.000000E-01,0.000000E+00,-5.000000E-01,0.000000E+00,1.739100E-01
3.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,2.225300E-01
3.000000E-01,0.000000E+00,5.000000E-01,0.000000E+00,1.765000E-01
3.000000E-01,0.000000E+00,1.000000E+00,0.000000E+00,3.664400E-02
3.000000E-01,0.000000E+00,1.600000E+00,0.000000E+00,1.470800E-04
3.000000E-01,0.000000E+00,2.300000E+00,0.000000E+00,5.811000E-05
3.000000E-01,0.000000E+00,3.000000E+00,0.000000E+00,2.237600E-05
3.000000E-01,0.000000E+00,3.800000E+00,0.000000E+00,8.945100E-06
6.000000E-01,0.000000E+00,-3.800000E+00,0.000000E+00,1.409100E-05
6.000000E-01,0.000000E+00,-3.000000E+00,0.000000E+00,2.822600E-05
6.000000E-01,0.000000E+00,-2.300000E+00,0.000000E+00,4.820600E-05
6.000000E-01,0.000000E+00,-1.600000E+00,0.000000E+00,1.072000E-04
6.000000E-01,0.000000E+00,-1.000000E+00,0.000000E+00,1.188900E-02
6.000000E-01,0.000000E+00,-5.000000E-01,0.000000E+00,1.019000E-01
6.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,1.392700E-01
6.000000E-01,0.000000E+00,5.000000E-01,0.000000E+00,1.026100E-01
6.000000E-01,0.000000E+00,1.000000E+00,0.000000E+00,2.027000E-02
6.000000E-01,0.000000E+00,1.600000E+00,0.000000E+00,1.370500E-04
6.000000E-01,0.000000E+00,2.300000E+00,0.000000E+00,4.902900E-05
6.000000E-01,0.000000E+00,3.000000E+00,0.000000E+00,3.101300E-05
