   x [m], y [m], z [m], azimuth rotation [deg], whole body SAR [W/Kg]
   0.05000,   0.00000,  -3.80000,   0.00000,   0.00000
   0.05000,   0.00000,  -3.00000,   0.00000,   0.00001
   0.05000,   0.00000,  -2.30000,   0.00000,   0.00004
   0.05000,   0.00000,  -1.60000,   0.00000,   0.00021
   0.05000,   0.00000,  -1.00000,   0.00000,   0.13834
   0.05000,   0.00000,  -0.50000,   0.00000,   0.79359
   0.05000,   0.00000,   0.00000,   0.00000,   0.51909
   0.05000,   0.00000,   0.50000,   0.00000,   0.37142
   0.05000,   0.00000,   1.00000,   0.00000,   0.07805
   0.05000,   0.00000,   1.60000,   0.00000,   0.00027
   0.05000,   0.00000,   2.30000,   0.00000,   0.00004
   0.05000,   0.00000,   3.00000,   0.00000,   0.00001
   0.05000,   0.00000,   3.80000,   0.00000,   0.00000
   0.10000,   0.00000,  -3.80000,   0.00000,   0.00000
   0.10000,   0.00000,  -3.00000,   0.00000,   0.00001
   0.10000,   0.00000,  -2.30000,   0.00000,   0.00004
   0.10000,   0.00000,  -1.60000,   0.00000,   0.00018
   0.10000,   0.00000,  -1.00000,   0.00000,   0.04145
   0.10000,   0.00000,  -0.50000,   0.00000,   0.30973
   0.10000,   0.00000,   0.00000,   0.00000,   0.31437
   0.10000,   0.00000,   0.50000,   0.00000,   0.41095
   0.10000,   0.00000,   1.00000,   0.00000,   0.07580
   0.10000,   0.00000,   1.60000,   0.00000,   0.00025
   0.10000,   0.00000,   2.30000,   0.00000,   0.00005
   0.10000,   0.00000,   3.00000,   0.00000,   0.00001
   0.10000,   0.00000,   3.80000,   0.00000,   0.00001
   0.30000,   0.00000,  -3.80000,   0.00000,   0.00001
   0.30000,   0.00000,  -3.00000,   0.00000,   0.00002
   0.30000,   0.00000,  -2.30000,   0.00000,   0.00005
   0.30000,   0.00000,  -1.60000,   0.00000,   0.00012
   0.30000,   0.00000,  -1.00000,   0.00000,   0.02066
   0.30000,   0.00000,  -0.50000,   0.00000,   0.17391
   0.30000,   0.00000,   0.00000,   0.00000,   0.22253
   0.30000,   0.00000,   0.50000,   0.00000,   0.17650
   0.30000,   0.00000,   1.00000,   0.00000,   0.03664
   0.30000,   0.00000,   1.60000,   0.00000,   0.00015
   0.30000,   0.00000,   2.30000,   0.00000,   0.00006
