SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	4.94776855E-03	
1.00000000E+00	5.10763457E-03	
2.00000000E+00	5.48970308E-03	
3.00000000E+00	6.09467034E-03	
4.00000000E+00	6.92368339E-03	
5.00000000E+00	7.97829496E-03	
6.00000000E+00	9.26049205E-03	
7.00000000E+00	1.07726251E-02	
8.00000000E+00	1.25174075E-02	
9.00000000E+00	1.44980499E-02	
1.00000000E+01	1.67178904E-02	
1.10000000E+01	1.91807583E-02	
1.20000000E+01	2.18907920E-02	
1.30000000E+01	2.48521397E-02	
1.40000000E+01	2.80694957E-02	
1.50000000E+01	3.15475225E-02	
1.60000000E+01	3.52909702E-02	
1.70000000E+01	3.93049685E-02	
1.80000000E+01	4.35943724E-02	
1.90000000E+01	4.81642332E-02	
2.00000000E+01	5.30190337E-02	
2.10000000E+01	5.81637699E-02	
2.20000000E+01	6.36025504E-02	
2.30000000E+01	6.93396572E-02	
2.40000000E+01	7.53787596E-02	
2.50000000E+01	8.17227463E-02	
2.60000000E+01	8.83739234E-02	
2.70000000E+01	9.53347062E-02	
2.80000000E+01	1.02605046E-01	
2.90000000E+01	1.10185621E-01	
3.00000000E+01	1.18074842E-01	
3.10000000E+01	1.26270539E-01	
3.20000000E+01	1.34768278E-01	
3.30000000E+01	1.43563188E-01	
3.40000000E+01	1.52648719E-01	
3.50000000E+01	1.62014750E-01	
3.60000000E+01	1.71651942E-01	
3.70000000E+01	1.81545538E-01	
3.80000000E+01	1.91682479E-01	
3.90000000E+01	2.02044136E-01	
4.00000000E+01	2.12610126E-01	
4.10000000E+01	2.23358411E-01	
4.20000000E+01	2.34262776E-01	
4.30000000E+01	2.45294751E-01	
4.40000000E+01	2.56422400E-01	
4.50000000E+01	2.67611255E-01	
4.60000000E+01	2.78822333E-01	
4.70000000E+01	2.90014419E-01	
4.80000000E+01	3.01143532E-01	
4.90000000E+01	3.12160730E-01	
5.00000000E+01	3.23013506E-01	
5.10000000E+01	3.33646653E-01	
5.20000000E+01	3.44000785E-01	
5.30000000E+01	3.54015309E-01	
5.40000000E+01	3.63623868E-01	
5.50000000E+01	3.72756863E-01	
5.60000000E+01	3.81344703E-01	
5.70000000E+01	3.89313783E-01	
5.80000000E+01	3.96582079E-01	
5.90000000E+01	4.03075112E-01	
6.00000000E+01	4.08709363E-01	
6.10000000E+01	4.13402056E-01	
6.20000000E+01	4.17071467E-01	
6.30000000E+01	4.19632406E-01	
6.40000000E+01	4.20996783E-01	
6.50000000E+01	4.21086858E-01	
6.60000000E+01	4.19815357E-01	
6.70000000E+01	4.17105258E-01	
6.80000000E+01	4.12878003E-01	
6.90000000E+01	4.07060654E-01	
7.00000000E+01	3.99586003E-01	
7.10000000E+01	3.90394316E-01	
7.20000000E+01	3.79435091E-01	
7.30000000E+01	3.66665066E-01	
7.40000000E+01	3.52059378E-01	
7.50000000E+01	3.35606298E-01	
7.60000000E+01	3.17312605E-01	
7.70000000E+01	2.97214026E-01	
7.80000000E+01	2.75370126E-01	
7.90000000E+01	2.51881630E-01	
8.00000000E+01	2.26895273E-01	
8.10000000E+01	2.00611761E-01	
8.20000000E+01	1.73308217E-01	
8.30000000E+01	1.45351617E-01	
8.40000000E+01	1.17230699E-01	
8.50000000E+01	8.95871153E-02	
8.60000000E+01	6.32685347E-02	
8.70000000E+01	3.93940915E-02	
8.80000000E+01	1.94496960E-02	
8.90000000E+01	5.42344043E-03	
9.00000000E+01	0.00000000E+00	
