SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	9.44689632E-02	
1.00000000E+00	9.52092718E-02	
2.00000000E+00	9.63531087E-02	
3.00000000E+00	9.78963143E-02	
4.00000000E+00	9.98324538E-02	
5.00000000E+00	1.02152922E-01	
6.00000000E+00	1.04846319E-01	
7.00000000E+00	1.07898461E-01	
8.00000000E+00	1.11291893E-01	
9.00000000E+00	1.15005064E-01	
1.00000000E+01	1.19012662E-01	
1.10000000E+01	1.23284616E-01	
1.20000000E+01	1.27785925E-01	
1.30000000E+01	1.32476560E-01	
1.40000000E+01	1.37310892E-01	
1.50000000E+01	1.42238395E-01	
1.60000000E+01	1.47203206E-01	
1.70000000E+01	1.52145189E-01	
1.80000000E+01	1.57000372E-01	
1.90000000E+01	1.61701801E-01	
2.00000000E+01	1.66181905E-01	
2.10000000E+01	1.70372789E-01	
2.20000000E+01	1.74209179E-01	
2.30000000E+01	1.77630273E-01	
2.40000000E+01	1.80582462E-01	
2.50000000E+01	1.83021608E-01	
2.60000000E+01	1.84914748E-01	
2.70000000E+01	1.86243777E-01	
2.80000000E+01	1.87005438E-01	
2.90000000E+01	1.87214373E-01	
3.00000000E+01	1.86901752E-01	
3.10000000E+01	1.86116928E-01	
3.20000000E+01	1.84923652E-01	
3.30000000E+01	1.83399732E-01	
3.40000000E+01	1.81632282E-01	
3.50000000E+01	1.79713285E-01	
3.60000000E+01	1.77734473E-01	
3.70000000E+01	1.75781191E-01	
3.80000000E+01	1.73926585E-01	
3.90000000E+01	1.72225547E-01	
4.00000000E+01	1.70710800E-01	
4.10000000E+01	1.69388575E-01	
4.20000000E+01	1.68237530E-01	
4.30000000E+01	1.67209496E-01	
4.40000000E+01	1.66232747E-01	
4.50000000E+01	1.65217817E-01	
4.60000000E+01	1.64065524E-01	
4.70000000E+01	1.62676544E-01	
4.80000000E+01	1.60962593E-01	
4.90000000E+01	1.58856614E-01	
5.00000000E+01	1.56323027E-01	
5.10000000E+01	1.53363918E-01	
5.20000000E+01	1.50023337E-01	
5.30000000E+01	1.46386462E-01	
5.40000000E+01	1.42574453E-01	
5.50000000E+01	1.38734286E-01	
5.60000000E+01	1.35024815E-01	
5.70000000E+01	1.31600839E-01	
5.80000000E+01	1.28594424E-01	
5.90000000E+01	1.26100577E-01	
6.00000000E+01	1.24163834E-01	
6.10000000E+01	1.22771107E-01	
6.20000000E+01	1.21853197E-01	
6.30000000E+01	1.21292020E-01	
6.40000000E+01	1.20937663E-01	
6.50000000E+01	1.20629885E-01	
6.60000000E+01	1.20223302E-01	
6.70000000E+01	1.19613501E-01	
6.80000000E+01	1.18757246E-01	
6.90000000E+01	1.17686109E-01	
7.00000000E+01	1.16505826E-01	
7.10000000E+01	1.15384781E-01	
7.20000000E+01	1.14525095E-01	
7.30000000E+01	1.14123768E-01	
7.40000000E+01	1.14324797E-01	
7.50000000E+01	1.15169350E-01	
7.60000000E+01	1.16553863E-01	
7.70000000E+01	1.18200134E-01	
7.80000000E+01	1.19650693E-01	
7.90000000E+01	1.20289541E-01	
8.00000000E+01	1.19397080E-01	
8.10000000E+01	1.16233155E-01	
8.20000000E+01	1.10146783E-01	
8.30000000E+01	1.00701532E-01	
8.40000000E+01	8.78057073E-02	
8.50000000E+01	7.18309773E-02	
8.60000000E+01	5.37084927E-02	
8.70000000E+01	3.49865585E-02	
8.80000000E+01	1.78468751E-02	
8.90000000E+01	5.07571257E-03	
9.00000000E+01	0.00000000E+00	
