   x [m], y [m], z [m], azimuth rotation [deg], whole body SAR [W/Kg]
   0.05000,   0.00000,  -5.00000,   0.00000,   0.00005
   0.05000,   0.00000,  -4.00000,   0.00000,   0.00027
   0.05000,   0.00000,  -3.20000,   0.00000,   0.00503
   0.05000,   0.00000,  -2.40000,   0.00000,   0.18629
   0.05000,   0.00000,  -1.70000,   0.00000,   0.30928
   0.05000,   0.00000,  -1.00000,   0.00000,   0.82090
   0.05000,   0.00000,  -0.50000,   0.00000,   0.81419
   0.05000,   0.00000,   0.00000,   0.00000,   0.97289
   0.05000,   0.00000,   0.50000,   0.00000,   1.05670
   0.05000,   0.00000,   1.00000,   0.00000,   0.52435
   0.05000,   0.00000,   1.70000,   0.00000,   0.38293
   0.05000,   0.00000,   2.40000,   0.00000,   0.08000
   0.05000,   0.00000,   3.20000,   0.00000,   0.00494
   0.05000,   0.00000,   4.00000,   0.00000,   0.00026
   0.05000,   0.00000,   5.00000,   0.00000,   0.00005
   0.10000,   0.00000,  -5.00000,   0.00000,   0.00005
   0.10000,   0.00000,  -4.00000,   0.00000,   0.00027
   0.10000,   0.00000,  -3.20000,   0.00000,   0.00426
   0.10000,   0.00000,  -2.40000,   0.00000,   0.15430
   0.10000,   0.00000,  -1.70000,   0.00000,   0.21473
   0.10000,   0.00000,  -1.00000,   0.00000,   0.63797
   0.10000,   0.00000,  -0.50000,   0.00000,   0.53960
   0.10000,   0.00000,   0.00000,   0.00000,   0.69594
   0.10000,   0.00000,   0.50000,   0.00000,   0.69521
   0.10000,   0.00000,   1.00000,   0.00000,   0.37456
   0.10000,   0.00000,   1.70000,   0.00000,   0.23935
   0.10000,   0.00000,   2.40000,   0.00000,   0.05513
   0.10000,   0.00000,   3.20000,   0.00000,   0.00424
   0.10000,   0.00000,   4.00000,   0.00000,   0.00025
   0.10000,   0.00000,   5.00000,   0.00000,   0.00005
   0.30000,   0.00000,  -5.00000,   0.00000,   0.00005
   0.30000,   0.00000,  -4.00000,   0.00000,   0.00022
   0.30000,   0.00000,  -3.20000,   0.00000,   0.00183
   0.30000,   0.00000,  -2.40000,   0.00000,   0.02533
   0.30000,   0.00000,  -1.70000,   0.00000,   0.04703
   0.30000,   0.00000,  -1.00000,   0.00000,   0.11883
   0.30000,   0.00000,  -0.50000,   0.00000,   0.12161
   0.30000,   0.00000,   0.00000,   0.00000,   0.15157
   0.30000,   0.00000,   0.50000,   0.00000,   0.12025
   0.30000,   0.00000,   1.00000,   0.00000,   0.10200
   0.30000,   0.00000,   1.70000,   0.00000,   0.03882
   0.30000,   0.00000,   2.40000,   0.00000,   0.02016
   0.30000,   0.00000,   3.20000,   0.00000,   0.00167
   0.30000,   0.00000,   4.00000,   0.00000,   0.00020
   0.30000,   0.00000,   5.00000,   0.00000,   0.00004
   0.60000,   0.00000,  -5.00000,   0.00000,   0.00004
   0.60000,   0.00000,  -4.00000,   0.00000,   0.00014
   0.60000,   0.00000,  -3.20000,   0.00000,   0.00087
   0.60000,   0.00000,  -2.40000,   0.00000,   0.00983
   0.60000,   0.00000,  -1.70000,   0.00000,   0.02449
   0.60000,   0.00000,  -1.00000,   0.00000,   0.05294
   0.60000,   0.00000,  -0.50000,   0.00000,   0.06328
   0.60000,   0.00000,   0.00000,   0.00000,   0.07537
   0.60000,   0.00000,   0.50000,   0.00000,   0.06233
   0.60000,   0.00000,   1.00000,   0.00000,   0.05315
   0.60000,   0.00000,   1.70000,   0.00000,   0.02394
   0.60000,   0.00000,   2.40000,   0.00000,   0.01018
   0.60000,   0.00000,   3.20000,   0.00000,   0.00072
   0.60000,   0.00000,   4.00000,   0.00000,   0.00012
   0.60000,   0.00000,   5.00000,   0.00000,   0.00004
   1.00000,   0.00000,  -5.00000,   0.00000,   0.00003
   1.00000,   0.00000,  -4.00000,   0.00000,   0.00011
   1.00000,   0.00000,  -3.20000,   0.00000,   0.00076
   1.00000,   0.00000,  -2.40000,   0.00000,   0.00776
   1.00000,   0.00000,  -1.70000,   0.00000,   0.02379
   1.00000,   0.00000,  -1.00000,   0.00000,   0.04511
   1.00000,   0.00000,  -0.50000,   0.00000,   0.05790
   1.00000,   0.00000,   0.00000,   0.00000,   0.06096
   1.00000,   0.00000,   0.50000,   0.00000,   0.05674
   1.00000,   0.00000,   1.00000,   0.00000,   0.04349
   1.00000,   0.00000,   1.70000,   0.00000,   0.02209
   1.00000,   0.00000,   2.40000,   0.00000,   0.00696
   1.00000,   0.00000,   3.20000,   0.00000,   0.00070
   1.00000,   0.00000,   4.00000,   0.00000,   0.00010
   1.00000,   0.00000,   5.00000,   0.00000,   0.00003
   1.50000,   0.00000,  -5.00000,   0.00000,   0.00003
   1.50000,   0.00000,  -4.00000,   0.00000,   0.00011
   1.50000,   0.00000,  -3.20000,   0.00000,   0.00062
   1.50000,   0.00000,  -2.40000,   0.00000,   0.00423
   1.50000,   0.00000,  -1.70000,   0.00000,   0.01370
   1.50000,   0.00000,  -1.00000,   0.00000,   0.02619
   1.50000,   0.00000,  -0.50000,   0.00000,   0.03357
   1.50000,   0.00000,   0.00000,   0.00000,   0.03636
   1.50000,   0.00000,   0.50000,   0.00000,   0.03347
   1.50000,   0.00000,   1.00000,   0.00000,   0.02559
   1.50000,   0.00000,   1.70000,   0.00000,   0.01344
   1.50000,   0.00000,   2.40000,   0.00000,   0.00398
   1.50000,   0.00000,   3.20000,   0.00000,   0.00055
   1.50000,   0.00000,   4.00000,   0.00000,   0.00010
   1.50000,   0.00000,   5.00000,   0.00000,   0.00003
   2.20000,   0.00000,  -5.00000,   0.00000,   0.00003
   2.20000,   0.00000,  -4.00000,   0.00000,   0.00010
   2.20000,   0.00000,  -3.20000,   0.00000,   0.00057
   2.20000,   0.00000,  -2.40000,   0.00000,   0.00313
   2.20000,   0.00000,  -1.70000,   0.00000,   0.00951
   2.20000,   0.00000,  -1.00000,   0.00000,   0.01892
   2.20000,   0.00000,  -0.50000,   0.00000,   0.02400
   2.20000,   0.00000,   0.00000,   0.00000,   0.02567
