x,y,z,zrotation,SARwb
-0.2,0.1,0.75,153.43,0.01847
-0.2,0.1,1.35,153.43,0.01379
-0.2,0.1,2,153.43,0.00792
-0.2,0.2,-2,135,0.00508
-0.2,0.2,-1.35,135,0.0099
-0.2,0.2,-0.75,135,0.01236
-0.2,0.2,-0.3,135,0.015
-0.2,0.2,0,135,0.01686
-0.2,0.2,0.3,135,0.01766
-0.2,0.2,0.75,135,0.01928
-0.2,0.2,1.35,135,0.01413
-0.2,0.2,2,135,0.0076
-0.2,0.36,-2,119.05,0.00492
-0.2,0.36,-1.35,119.05,0.00984
-0.2,0.36,-0.75,119.05,0.0128
-0.2,0.36,-0.3,119.05,0.01372
-0.2,0.36,0,119.05,0.01521
-0.2,0.36,0.3,119.05,0.0164
-0.2,0.36,0.75,119.05,0.01787
-0.2,0.36,1.35,119.05,0.01377
-0.2,0.36,2,119.05,0.00704
-0.2,0.6,-2,108.43,0.00442
-0.2,0.6,-1.35,108.43,0.00833
-0.2,0.6,-0.75,108.43,0.00971
-0.2,0.6,-0.3,108.43,0.00972
-0.2,0.6,0,108.43,0.01059
-0.2,0.6,0.3,108.43,0.01177
-0.2,0.6,0.75,108.43,0.01344
-0.2,0.6,1.35,108.43,0.0113
-0.2,0.6,2,108.43,0.00619
-0.2,0.9,-2,102.53,0.00352
-0.2,0.9,-1.35,102.53,0.00528
-0.2,0.9,-0.75,102.53,0.0053
-0.2,0.9,-0.3,102.53,0.00495
-0.2,0.9,0,102.53,0.00529
-0.2,0.9,0.3,102.53,0.006
-0.2,0.9,0.75,102.53,0.00756
-0.2,0.9,1.35,102.53,0.00745
-0.2,0.9,2,102.53,0.00489
-0.2,1.4,-2,98.13,0.00196
-0.2,1.4,-1.35,98.13,0.00209
-0.2,1.4,-0.75,98.13,0.00157
-0.2,1.4,-0.3,98.13,0.00131
-0.2,1.4,0,98.13,0.00137
-0.2,1.4,0.3,98.13,0.00174
-0.2,1.4,0.75,98.13,0.0026
-0.2,1.4,1.35,98.13,0.00337
-0.2,1.4,2,98.13,0.00294
-0.2,2,-2,95.71,0.00087
-0.2,2,-1.35,95.71,0.00069
-0.2,2,-0.75,95.71,0.0004
-0.2,2,-0.3,95.71,0.00029
-0.2,2,0,95.71,0.00033
-0.2,2,0.3,95.71,0.00048
-0.2,2,0.75,95.71,0.00084
-0.2,2,1.35,95.71,0.00133
-0.2,2,2,95.71,0.00152
0,0.1,-2,90,0.00526
0,0.1,-1.35,90,0.0175
0,0.1,-0.75,90,0.10099
0,0.1,-0.3,90,0.34121
0,0.1,0,90,0.37251
0,0.1,0.3,90,0.22552
0,0.1,0.75,90,0
0,0.1,1.35,90,0.02801
0,0.1,2,90,0.00839
0,0.2,-2,90,0.00518
0,0.2,-1.35,90,0.01628
0,0.2,-0.75,90,0.04979
0,0.2,-0.3,90,0.11294
0,0.2,0,90,0.11597
0,0.2,0.3,90,0.0939
0,0.2,0.75,90,0.09036
0,0.2,1.35,90,0.02385
0,0.2,2,90,0.008
0,0.36,-2,90,0.00497
0,0.36,-1.35,90,0.01373
0,0.36,-0.75,90,0.02756
0,0.36,-0.3,90,0.0386
0,0.36,0,90,0.04261
0,0.36,0.3,90,0.04632
0,0.36,0.75,90,0.03226
0,0.36,1.35,90,0.01896
0,0.36,2,90,0.00719
0,0.6,-2,90,0.00441
0,0.6,-1.35,90,0.00945
0,0.6,-0.75,90,0.01263
0,0.6,-0.3,90,0.01351
0,0.6,0,90,0.01514
0,0.6,0.3,90,0.01688
0,0.6,0.75,90,0.01655
0,0.6,1.35,90,0.01247
0,0.6,2,90,0.00618
0,0.9,-2,90,0.00351
0,0.9,-1.35,90,0.00526
0,0.9,-0.75,90,0.00496
0,0.9,-0.3,90,0.00423
0,0.9,0,90,0.0047
0,0.9,0.3,90,0.00561
0,0.9,0.75,90,0.00751
0,0.9,1.35,90,0.00735
0,0.9,2,90,0.00481
0,1.4,-2,90,0.00197
0,1.4,-1.35,90,0.00194
0,1.4,-0.75,90,0.00123
0,1.4,-0.3,90,0.00086
0,1.4,0,90,0.00092
0,1.4,0.3,90,0.00132
0,1.4,0.75,90,0.00231
0,1.4,1.35,90,0.00322
0,1.4,2,90,0.00292
0,2,-2,90,0.00092
0,2,-1.35,90,0.00067
0,2,-0.75,90,0.00033
0,2,-0.3,90,0.0002
0,2,0,90,0.00023
0,2,0.3,90,0.00039
0,2,0.75,90,0.00077
0,2,1.35,90,0.00131
0,2,2,90,0.00157
0.25,0.1,-2,90,0.00685
0.25,0.1,-1.35,90,0.02242
0.25,0.1,-0.75,90,0.25606
0.25,0.1,-0.3,90,0.6122
0.25,0.1,0,90,0.61465
0.25,0.1,0.3,90,0.39934
0.25,0.1,0.75,90,0
0.25,0.1,1.35,90,0.03743
0.25,0.1,2,90,0.01028
0.25,0.2,-2,90,0.00679
0.25,0.2,-1.35,90,0.02095
0.25,0.2,-0.75,90,0.10643
0.25,0.2,-0.3,90,0.22795
0.25,0.2,0,90,0.23341
0.25,0.2,0.3,90,0.18266
0.25,0.2,0.75,90,0.20182
0.25,0.2,1.35,90,0.03213
0.25,0.2,2,90,0.00994
0.25,0.36,-2,90,0.0066
0.25,0.36,-1.35,90,0.01785
0.25,0.36,-0.75,90,0.04885
0.25,0.36,-0.3,90,0.07426
0.25,0.36,0,90,0.07631
0.25,0.36,0.3,90,0.07492
0.25,0.36,0.75,90,0.05572
0.25,0.36,1.35,90,0.0246
0.25,0.36,2,90,0.0091
0.25,0.6,-2,90,0.00599
0.25,0.6,-1.35,90,0.01249
0.25,0.6,-0.75,90,0.01908
0.25,0.6,-0.3,90,0.02087
0.25,0.6,0,90,0.02196
0.25,0.6,0.3,90,0.02371
0.25,0.6,0.75,90,0.0227
0.25,0.6,1.35,90,0.01575
0.25,0.6,2,90,0.00791
0.25,0.9,-2,90,0.00486
0.25,0.9,-1.35,90,0.00728
0.25,0.9,-0.75,90,0.00726
0.25,0.9,-0.3,90,0.00613
0.25,0.9,0,90,0.0064
0.25,0.9,0.3,90,0.00748
0.25,0.9,0.75,90,0.00975
0.25,0.9,1.35,90,0.00933
0.25,0.9,2,90,0.00625
0.25,1.4,-2,90,0.00282
0.25,1.4,-1.35,90,0.00283
0.25,1.4,-0.75,90,0.00194
0.25,1.4,-0.3,90,0.00136
0.25,1.4,0,90,0.00137
0.25,1.4,0.3,90,0.00182
0.25,1.4,0.75,90,0.00301
0.25,1.4,1.35,90,0.00416
0.25,1.4,2,90,0.00382
0.25,2,-2,90,0.00134
0.25,2,-1.35,90,0.00103
0.25,2,-0.75,90,0.00057
0.25,2,-0.3,90,0.00036
0.25,2,0,90,0.00037
0.25,2,0.3,90,0.00055
0.25,2,0.75,90,0.00102
0.25,2,1.35,90,0.0017
0.25,2,2,90,0.00204
0.5,0,-2,0,0.01354
0.5,0,-1.35,0,0.03559
0.5,0,-0.75,0,0.38399
0.5,0,-0.3,0,0.74074
0.5,0,0,0,0.79061
0.5,0,0.3,0,0.59907
0.5,0,0.75,0,0
0.5,0,1.35,0,0.04651
0.5,0,2,0,0.01837
0.5,0.1,-2,77.05,0.01224
0.5,0.1,-1.35,77.05,0.0349
0.5,0.1,-0.75,77.05,0.25794
0.5,0.1,-0.3,77.05,0.526
0.5,0.1,0,77.05,0.50686
0.5,0.1,0.3,77.05,0.33362
0.5,0.1,0.75,77.05,0
0.5,0.1,1.35,77.05,0.04482
0.5,0.1,2,77.05,0.01634
0.5,0.2,-2,83.44,0.01192
0.5,0.2,-1.35,83.44,0.03314
0.5,0.2,-0.75,83.44,0.12277
0.5,0.2,-0.3,83.44,0.25903
0.5,0.2,0,83.44,0.25262
0.5,0.2,0.3,83.44,0.18378
0.5,0.2,0.75,83.44,0.19836
0.5,0.2,1.35,83.44,0.04181
0.5,0.2,2,83.44,0.01573
0.5,0.36,-2,86.34,0.01145
0.5,0.36,-1.35,86.34,0.02947
0.5,0.36,-0.75,86.34,0.06311
0.5,0.36,-0.3,86.34,0.09824
0.5,0.36,0,86.34,0.10042
0.5,0.36,0.3,86.34,0.09022
0.5,0.36,0.75,86.34,0.0765
0.5,0.36,1.35,86.34,0.03634
0.5,0.36,2,86.34,0.01463
0.5,0.6,-2,87.8,0.01032
0.5,0.6,-1.35,87.8,0.02175
0.5,0.6,-0.75,87.8,0.03115
0.5,0.6,-0.3,87.8,0.03677
0.5,0.6,0,87.8,0.0387
0.5,0.6,0.3,87.8,0.03818
0.5,0.6,0.75,87.8,0.03579
0.5,0.6,1.35,87.8,0.0257
0.5,0.6,2,87.8,0.01279
0.5,0.9,-2,88.54,0.00828
0.5,0.9,-1.35,88.54,0.01307
0.5,0.9,-0.75,88.54,0.0141
0.5,0.9,-0.3,88.54,0.01352
0.5,0.9,0,88.54,0.01389
0.5,0.9,0.3,88.54,0.01457
0.5,0.9,0.75,88.54,0.0163
0.5,0.9,1.35,88.54,0.01542
0.5,0.9,2,88.54,0.01002
0.5,1.4,-2,89.06,0.00473
0.5,1.4,-1.35,89.06,0.00521
0.5,1.4,-0.75,89.06,0.00412
0.5,1.4,-0.3,89.06,0.00331
0.5,1.4,0,89.06,0.0032
0.5,1.4,0.3,89.06,0.00371
0.5,1.4,0.75,89.06,0.00517
0.5,1.4,1.35,89.06,0.00665
0.5,1.4,2,89.06,0.0059
0.5,2,-2,89.34,0.00221
0.5,2,-1.35,89.34,0.00188
0.5,2,-0.75,89.34,0.00122
0.5,2,-0.3,89.34,0.00085
0.5,2,0,89.34,0.00082
0.5,2,0.3,89.34,0.00104
0.5,2,0.75,89.34,0.00167
0.5,2,1.35,89.34,0.00261
0.5,2,2,89.34,0.00301
0.8,0,-2,0,0.0137
0.8,0,-1.35,0,0.02156
0.8,0,-0.75,0,0.24038
0.8,0,-0.3,0,0.57514
0.8,0,0,0,0.57296
0.8,0,0.3,0,0.40727
0.8,0,0.75,0,0.23575
0.8,0,1.35,0,0.0269
0.8,0,2,0,0.01786
0.8,0.1,-2,17.2,0.01386
0.8,0.1,-1.35,17.2,0.02182
0.8,0.1,-0.75,17.2,0.21417
0.8,0.1,-0.3,17.2,0.50521
0.8,0.1,0,17.2,0.50429
0.8,0.1,0.3,17.2,0.36018
0.8,0.1,0.75,17.2,0.21193
0.8,0.1,1.35,17.2,0.02752
0.8,0.1,2,17.2,0.01786
0.8,0.2,-2,31.77,0.01417
0.8,0.2,-1.35,31.77,0.02228
0.8,0.2,-0.75,31.77,0.15651
0.8,0.2,-0.3,31.77,0.35868
0.8,0.2,0,31.77,0.35715
0.8,0.2,0.3,31.77,0.25568
0.8,0.2,0.75,31.77,0.15673
0.8,0.2,1.35,31.77,0.02846
0.8,0.2,2,31.77,0.01782
0.8,0.36,-2,48.1,0.01445
0.8,0.36,-1.35,48.1,0.02253
0.8,0.36,-0.75,48.1,0.07743
0.8,0.36,-0.3,48.1,0.15348
0.8,0.36,0,48.1,0.15063
0.8,0.36,0.3,48.1,0.11584
0.8,0.36,0.75,48.1,0.07734
0.8,0.36,1.35,48.1,0.02832
0.8,0.36,2,48.1,0.01756
0.8,0.6,-2,61.7,0.01382
0.8,0.6,-1.35,61.7,0.02075
0.8,0.6,-0.75,61.7,0.03112
0.8,0.6,-0.3,61.7,0.04205
0.8,0.6,0,61.7,0.04088
0.8,0.6,0.3,61.7,0.03631
0.8,0.6,0.75,61.7,0.03209
0.8,0.6,1.35,61.7,0.025
0.8,0.6,2,61.7,0.01645
0.8,0.9,-2,70.26,0.0117
0.8,0.9,-1.35,70.26,0.01581
0.8,0.9,-0.75,70.26,0.01676
0.8,0.9,-0.3,70.26,0.01657
0.8,0.9,0,70.26,0.0163
0.8,0.9,0.3,70.26,0.01676
0.8,0.9,0.75,70.26,0.0183
0.8,0.9,1.35,70.26,0.01869
0.8,0.9,2,70.26,0.0138
0.8,1.4,-2,77.01,0.0072
0.8,1.4,-1.35,77.01,0.008
0.8,1.4,-0.75,77.01,0.00694
0.8,1.4,-0.3,77.01,0.00609
0.8,1.4,0,77.01,0.00588
0.8,1.4,0.3,77.01,0.0064
0.8,1.4,0.75,77.01,0.00791
0.8,1.4,1.35,77.01,0.0096
0.8,1.4,2,77.01,0.00864
0.8,2,-2,80.83,0.00354
0.8,2,-1.35,80.83,0.00321
0.8,2,-0.75,80.83,0.0024
0.8,2,-0.3,80.83,0.0019
0.8,2,0,80.83,0.00183
0.8,2,0.3,80.83,0.00209
0.8,2,0.75,80.83,0.00286
0.8,2,1.35,80.83,0.00403
0.8,2,2,80.83,0.00448
1.3,0,-2,0,0.0068
1.3,0,-1.35,0,0.02953
1.3,0,-0.75,0,0.16752
1.3,0,-0.3,0,0.30611
1.3,0,0,0,0.31767
1.3,0,0.3,0,0.26021
1.3,0,0.75,0,0.13927
1.3,0,1.35,0,0.03132
1.3,0,2,0,0.00849
1.3,0.1,-2,6.93,0.00683
1.3,0.1,-1.35,6.93,0.02882
1.3,0.1,-0.75,6.93,0.1616
1.3,0.1,-0.3,6.93,0.29396
1.3,0.1,0,6.93,0.3046
1.3,0.1,0.3,6.93,0.25009
1.3,0.1,0.75,6.93,0.13447
1.3,0.1,1.35,6.93,0.03054
1.3,0.1,2,6.93,0.00852
1.3,0.2,-2,13.66,0.0069
1.3,0.2,-1.35,13.66,0.02683
1.3,0.2,-0.75,13.66,0.14528
1.3,0.2,-0.3,13.66,0.26108
1.3,0.2,0,13.66,0.26995
1.3,0.2,0.3,13.66,0.22322
1.3,0.2,0.75,13.66,0.12126
1.3,0.2,1.35,13.66,0.02836
1.3,0.2,2,13.66,0.00858
1.3,0.36,-2,23.63,0.00706
1.3,0.36,-1.35,23.63,0.02189
1.3,0.36,-0.75,23.63,0.10722
1.3,0.36,-0.3,23.63,0.18773
1.3,0.36,0,23.63,0.1947
1.3,0.36,0.3,23.63,0.16349
1.3,0.36,0.75,23.63,0.09013
