x,y,z,zrotation,SARwb
  -0.50000,   0.36000,  -0.81000, 144.25000,   0.00406
  -0.50000,   0.36000,  -0.30000, 144.25000,   0.00354
  -0.50000,   0.36000,   0.00000, 144.25000,   0.00339
  -0.50000,   0.36000,   0.30000, 144.25000,   0.00372
  -0.50000,   0.36000,   0.81000, 144.25000,   0.00582
  -0.50000,   0.36000,   1.35000, 144.25000,   0.00667
  -0.50000,   0.36000,   2.00000, 144.25000,   0.00551
  -0.50000,   0.60000,  -2.00000, 129.81000,   0.00387
  -0.50000,   0.60000,  -1.35000, 129.81000,   0.00492
  -0.50000,   0.60000,  -0.81000, 129.81000,   0.00432
  -0.50000,   0.60000,  -0.30000, 129.81000,   0.00324
  -0.50000,   0.60000,   0.00000, 129.81000,   0.00318
  -0.50000,   0.60000,   0.30000, 129.81000,   0.00385
  -0.50000,   0.60000,   0.81000, 129.81000,   0.00590
  -0.50000,   0.60000,   1.35000, 129.81000,   0.00682
  -0.50000,   0.60000,   2.00000, 129.81000,   0.00530
  -0.50000,   0.90000,  -2.00000, 119.05000,   0.00339
  -0.50000,   0.90000,  -1.35000, 119.05000,   0.00418
  -0.50000,   0.90000,  -0.81000, 119.05000,   0.00383
  -0.50000,   0.90000,  -0.30000, 119.05000,   0.00328
  -0.50000,   0.90000,   0.00000, 119.05000,   0.00332
  -0.50000,   0.90000,   0.30000, 119.05000,   0.00384
  -0.50000,   0.90000,   0.81000, 119.05000,   0.00521
  -0.50000,   0.90000,   1.35000, 119.05000,   0.00588
  -0.50000,   0.90000,   2.00000, 119.05000,   0.00467
  -0.50000,   1.40000,  -2.00000, 109.65000,   0.00214
  -0.50000,   1.40000,  -1.35000, 109.65000,   0.00233
  -0.50000,   1.40000,  -0.81000, 109.65000,   0.00205
  -0.50000,   1.40000,  -0.30000, 109.65000,   0.00184
  -0.50000,   1.40000,   0.00000, 109.65000,   0.00189
  -0.50000,   1.40000,   0.30000, 109.65000,   0.00218
  -0.50000,   1.40000,   0.81000, 109.65000,   0.00292
  -0.50000,   1.40000,   1.35000, 109.65000,   0.00347
  -0.50000,   1.40000,   2.00000, 109.65000,   0.00314
  -0.50000,   2.00000,  -2.00000, 104.04000,   0.00104
  -0.50000,   2.00000,  -1.35000, 104.04000,   0.00093
  -0.50000,   2.00000,  -0.81000, 104.04000,   0.00074
