f[MHz],er,sigma [S/m],Pabs [W],SAR (whole body average) [W/kg]
70,49.0,0.585,0.0060778,0.00010007
70,49.0,0.72,0.0062019,0.00010211
70,70.0,0.18,0.0039072,6.4332e-05
70,70.0,0.315,0.0051235,8.4358e-05
70,70.0,0.45,0.0057122,9.4051e-05
70,70.0,0.585,0.0060011,9.8808e-05
70,70.0,0.72,0.0061418,0.00010112
70,91.0,0.18,0.0037878,6.2366e-05
70,91.0,0.315,0.0050116,8.2516e-05
70,91.0,0.45,0.0056174,9.249e-05
70,91.0,0.585,0.0059229,9.752e-05
70,91.0,0.72,0.0060775,0.00010007
70,112.0,0.18,0.0037142,6.1154e-05
70,112.0,0.315,0.0049288,8.1152e-05
70,112.0,0.45,0.0055355,9.1142e-05
70,112.0,0.585,0.0058481,9.6289e-05
70,112.0,0.72,0.0060121,9.8989e-05
80,28.0,0.18,0.0042342,6.9716e-05
80,28.0,0.315,0.0048626,8.0062e-05
80,28.0,0.45,0.0050084,8.2462e-05
80,28.0,0.585,0.0050071,8.2442e-05
80,28.0,0.72,0.0049613,8.1688e-05
80,49.0,0.18,0.0042947,7.0712e-05
80,49.0,0.315,0.0049137,8.0903e-05
80,49.0,0.45,0.0050459,8.3079e-05
80,49.0,0.585,0.0050352,8.2904e-05
80,49.0,0.72,0.0049827,8.204e-05
80,70.0,0.18,0.0042611,7.0158e-05
80,70.0,0.315,0.0048972,8.0631e-05
80,70.0,0.45,0.0050389,8.2964e-05
80,70.0,0.585,0.0050339,8.2882e-05
80,70.0,0.72,0.0049844,8.2067e-05
80,91.0,0.18,0.004169,6.8642e-05
80,91.0,0.315,0.0048336,7.9584e-05
80,91.0,0.45,0.0049972,8.2279e-05
80,91.0,0.585,0.0050079,8.2454e-05
80,91.0,0.72,0.0049683,8.1802e-05
80,112.0,0.18,0.0040971,6.7459e-05
80,112.0,0.315,0.00476,7.8373e-05
80,112.0,0.45,0.0049382,8.1307e-05
80,112.0,0.585,0.0049656,8.1758e-05
80,112.0,0.72,0.0049386,8.1314e-05
90,30.0,0.18,0.0039122,6.4414e-05
90,30.0,0.315,0.0040653,6.6935e-05
90,30.0,0.45,0.0039831,6.558e-05
90,30.0,0.585,0.0038794,6.3874e-05
90,30.0,0.72,0.0037906,6.2412e-05
90,52.5,0.18,0.0038876,6.4008e-05
90,52.5,0.315,0.0040735,6.7069e-05
90,52.5,0.45,0.0040031,6.591e-05
90,52.5,0.585,0.0039023,6.4251e-05
90,52.5,0.72,0.0038117,6.2759e-05
90,75.0,0.18,0.0036383,5.9904e-05
90,75.0,0.315,0.0039596,6.5195e-05
90,75.0,0.45,0.0039545,6.511e-05
90,75.0,0.585,0.0038838,6.3946e-05
90,75.0,0.72,0.0038061,6.2667e-05
90,97.5,0.18,0.0034458,5.6735e-05
90,97.5,0.315,0.003828,6.3028e-05
90,97.5,0.45,0.003878,6.385e-05
90,97.5,0.585,0.0038406,6.3236e-05
90,97.5,0.72,0.003781,6.2254e-05
90,120.0,0.18,0.0034884,5.7437e-05
90,120.0,0.315,0.0037611,6.1926e-05
90,120.0,0.45,0.0038116,6.2758e-05
90,120.0,0.585,0.0037901,6.2404e-05
90,120.0,0.72,0.0037442,6.1649e-05
100,30.0,0.18,0.0033845,5.5726e-05
100,30.0,0.315,0.0033228,5.471e-05
100,30.0,0.45,0.0031893,5.2512e-05
100,30.0,0.585,0.0030833,5.0767e-05
100,30.0,0.72,0.003007,4.9509e-05
100,52.5,0.18,0.003154,5.1931e-05
100,52.5,0.315,0.0032607,5.3687e-05
100,52.5,0.45,0.0031862,5.246e-05
100,52.5,0.585,0.0031,5.1041e-05
100,52.5,0.72,0.0030285,4.9864e-05
100,75.0,0.18,0.0028821,4.7453e-05
100,75.0,0.315,0.0031365,5.1642e-05
100,75.0,0.45,0.0031363,5.1638e-05
100,75.0,0.585,0.0030834,5.0767e-05
100,75.0,0.72,0.0030262,4.9826e-05
100,97.5,0.18,0.0029179,4.8043e-05
100,97.5,0.315,0.0030819,5.0742e-05
100,97.5,0.45,0.0030895,5.0869e-05
100,97.5,0.585,0.0030531,5.0269e-05
100,97.5,0.72,0.0030083,4.9531e-05
100,120.0,0.18,0.0031438,5.1762e-05
100,120.0,0.315,0.0031038,5.1104e-05
100,120.0,0.45,0.0030585,5.0358e-05
100,120.0,0.585,0.0030178,4.9687e-05
100,120.0,0.72,0.00298,4.9066e-05
120,30.0,0.18,0.0023855,3.9277e-05
120,30.0,0.315,0.0023455,3.8619e-05
120,30.0,0.45,0.0022641,3.7278e-05
120,30.0,0.585,0.0021997,3.6218e-05
120,30.0,0.72,0.002154,3.5465e-05
120,52.5,0.18,0.0022038,3.6285e-05
120,52.5,0.315,0.0023212,3.8218e-05
120,52.5,0.45,0.0022917,3.7733e-05
120,52.5,0.585,0.0022432,3.6934e-05
120,52.5,0.72,0.0022016,3.6249e-05
120,75.0,0.18,0.0023976,3.9476e-05
120,75.0,0.315,0.0023577,3.882e-05
120,75.0,0.45,0.0023081,3.8002e-05
120,75.0,0.585,0.0022641,3.7278e-05
120,75.0,0.72,0.0022291,3.6702e-05
120,97.5,0.18,0.0025609,4.2166e-05
120,97.5,0.315,0.0023741,3.9089e-05
120,97.5,0.45,0.0023031,3.792e-05
120,97.5,0.585,0.0022656,3.7303e-05
120,97.5,0.72,0.0022409,3.6896e-05
120,120.0,0.18,0.0022505,3.7054e-05
120,120.0,0.315,0.0022667,3.7322e-05
120,120.0,0.45,0.0022558,3.7142e-05
120,120.0,0.585,0.0022479,3.7012e-05
120,120.0,0.72,0.0022413,3.6903e-05
150,30.0,0.18,0.0017587,2.8958e-05
150,30.0,0.315,0.0017887,2.945e-05
150,30.0,0.45,0.0017329,2.8532e-05
150,30.0,0.585,0.001672,2.7529e-05
150,30.0,0.72,0.0016181,2.6642e-05
150,52.5,0.18,0.0020437,3.3649e-05
150,52.5,0.315,0.0019061,3.1384e-05
150,52.5,0.45,0.0018234,3.0021e-05
150,52.5,0.585,0.0017588,2.8959e-05
150,52.5,0.72,0.0017033,2.8044e-05
150,75.0,0.18,0.0019312,3.1797e-05
150,75.0,0.315,0.001906,3.1382e-05
150,75.0,0.45,0.001861,3.0641e-05
150,75.0,0.585,0.0018137,2.9862e-05
150,75.0,0.72,0.0017655,2.9069e-05
150,97.5,0.18,0.0017799,2.9306e-05
150,97.5,0.315,0.001882,3.0986e-05
150,97.5,0.45,0.0018876,3.108e-05
150,97.5,0.585,0.0018591,3.0609e-05
150,97.5,0.72,0.0018172,2.992e-05
150,120.0,0.18,0.0019276,3.1738e-05
150,120.0,0.315,0.0019679,3.2401e-05
150,120.0,0.45,0.0019538,3.2169e-05
150,120.0,0.585,0.001915,3.153e-05
150,120.0,0.72,0.0018671,3.0741e-05
180,30.0,0.18,0.0017835,2.9364e-05
180,30.0,0.315,0.0017123,2.8193e-05
180,30.0,0.45,0.0016358,2.6934e-05
180,30.0,0.585,0.0015625,2.5726e-05
180,30.0,0.72,0.001494,2.4598e-05
180,52.5,0.18,0.0018393,3.0283e-05
180,52.5,0.315,0.0017922,2.9508e-05
180,52.5,0.45,0.00172,2.8319e-05
180,52.5,0.585,0.0016442,2.7072e-05
180,52.5,0.72,0.0015705,2.5858e-05
180,75.0,0.18,0.0018805,3.0962e-05
180,75.0,0.315,0.0018437,3.0356e-05
180,75.0,0.45,0.00177,2.9143e-05
180,75.0,0.585,0.0016904,2.7833e-05
180,75.0,0.72,0.0016136,2.6567e-05
180,97.5,0.18,0.0020219,3.329e-05
180,97.5,0.315,0.0019008,3.1296e-05
180,97.5,0.45,0.0017926,2.9516e-05
180,97.5,0.585,0.0017028,2.8037e-05
180,97.5,0.72,0.0016246,2.6749e-05
180,120.0,0.18,0.0018904,3.1126e-05
180,120.0,0.315,0.0018073,2.9757e-05
180,120.0,0.45,0.0017356,2.8577e-05
180,120.0,0.585,0.0016674,2.7454e-05
180,120.0,0.72,0.0016022,2.638e-05
200,30.0,0.18,0.001847,3.041e-05
200,30.0,0.315,0.001741,2.8666e-05
200,30.0,0.45,0.0016531,2.7218e-05
200,30.0,0.585,0.0015721,2.5884e-05
200,30.0,0.72,0.0014984,2.4672e-05
200,52.5,0.18,0.0018227,3.0011e-05
200,52.5,0.315,0.0017875,2.9431e-05
200,52.5,0.45,0.0017108,2.8168e-05
200,52.5,0.585,0.0016291,2.6823e-05
200,52.5,0.72,0.0015521,2.5556e-05
200,75.0,0.18,0.001873,3.0838e-05
200,75.0,0.315,0.0017922,2.9508e-05
200,75.0,0.45,0.0017071,2.8108e-05
200,75.0,0.585,0.0016291,2.6823e-05
