freq [Hz],alpha,epsr,sigma [S/m], P (absorbed in volume) [W],SAR (volume average) [W/kg]
9.00000E+02,7.50000E-01,2.55400E+01,4.19700E-01,1.27770E-03,2.10380E-05
9.00000E+02,1.00000E+00,3.40500E+01,5.97300E-01,1.20280E-03,1.98040E-05
9.00000E+02,1.25000E+00,4.25700E+01,7.81600E-01,1.12080E-03,1.84600E-05
1.00000E+03,7.50000E-01,2.54000E+01,4.50300E-01,1.28390E-03,2.10990E-05
1.00000E+03,1.00000E+00,3.38700E+01,6.36200E-01,1.18470E-03,1.94680E-05
1.00000E+03,1.25000E+00,4.23400E+01,8.26200E-01,1.09690E-03,1.80320E-05
1.20000E+03,7.50000E-01,2.51800E+01,5.11800E-01,1.23040E-03,2.01490E-05
1.20000E+03,1.00000E+00,3.35700E+01,7.14600E-01,1.12210E-03,1.83770E-05
1.20000E+03,1.25000E+00,4.19700E+01,9.16800E-01,1.04550E-03,1.71200E-05
1.40000E+03,7.50000E-01,2.49900E+01,5.74200E-01,1.19270E-03,1.94890E-05
1.40000E+03,1.00000E+00,3.33200E+01,7.94700E-01,1.09210E-03,1.78450E-05
1.40000E+03,1.25000E+00,4.16500E+01,1.01040E+00,1.01900E-03,1.66490E-05
1.50000E+03,7.50000E-01,2.49000E+01,6.06100E-01,1.17680E-03,1.92140E-05
1.50000E+03,1.00000E+00,3.32100E+01,8.35700E-01,1.07510E-03,1.75520E-05
1.50000E+03,1.25000E+00,4.15100E+01,1.05870E+00,1.00720E-03,1.64440E-05
1.80000E+03,7.50000E-01,2.46700E+01,7.04800E-01,1.14070E-03,1.85850E-05
1.80000E+03,1.00000E+00,3.28900E+01,9.63400E-01,1.05340E-03,1.71630E-05
1.80000E+03,1.25000E+00,4.11200E+01,1.21050E+00,9.87210E-04,1.60840E-05
2.00000E+03,7.50000E-01,2.45300E+01,7.73700E-01,1.11870E-03,1.82110E-05
2.00000E+03,1.00000E+00,3.27000E+01,1.05300E+00,1.03110E-03,1.67850E-05
2.00000E+03,1.25000E+00,4.08800E+01,1.31800E+00,9.63930E-04,1.56910E-05
2.45000E+03,7.50000E-01,2.42200E+01,9.38300E-01,1.07780E-03,1.75220E-05
2.45000E+03,1.00000E+00,3.23000E+01,1.26840E+00,9.87970E-04,1.60610E-05
2.45000E+03,1.25000E+00,4.03800E+01,1.57910E+00,9.20370E-04,1.49620E-05
3.00000E+03,7.50000E-01,2.38700E+01,1.15860E+00,1.03280E-03,1.67740E-05
3.00000E+03,1.00000E+00,3.18300E+01,1.55880E+00,9.42750E-04,1.53110E-05
3.00000E+03,1.25000E+00,3.97900E+01,1.93490E+00,8.77090E-04,1.42440E-05
